YBX3BF	AQRBF	BUD13BF	IGF2BP1BF	KHSRPBF	PRPF8BF	SF3B4BF	GPKOWBF	IGF2BP2BF	CSTF2TBF	FMR1BF	MATR3BF	PTBP1BF	RBM15BF	SUGP2BF	TARDBPBF	XRN2BF	GRWD1BF	HNRNPLBF	QKIBF	AGOBF	DKC1BF	EIF4G2BF	U2AF2BF	XPO5BF	ILF3BF	NONOBF	DDX59BF	HNRNPKBF	PCBP2BF	PPIGBF	RBFOX2BF	EFTUD2BF	GTF2F1BF	AGGF1BF	CDC40BF	G3BP1BF	DDX24BF	DDX3XBF	UCHL5BF	BCLAF1BF	ZNF622BF	HNRNPCBF	SFPQBF	SMNDC1BF	SRSF1BF	EWSR1BF	FUSBF	HNRNPMBF	SLTMBF	PABPN1BF	DICERBF	FUBP3BF	UPF1BF	U2AF1BF	NCBP2BF	METAP2BF	PRPF4BF	RBM22BF	DDX6BF	DROSHABF	NKRFBF	TIA1BF	TIAL1BF	CPEB4BF	EXOSC5BF	KHDRBS1BF	PCBP1BF	PPIL4BF	SAFBBF	SAFB2BF	TAF15BF	TROVE2BF	SF3A3BF	HLTFBF	AKAP1BF	DDX55BF	IGF2BP3BF	LARP4BF	RPS3BF	RBM5BF	LSM11BF	LIN28BBF	EIF3HBF	SDAD1BF	SRSF9BF	XRCC6BF	FAM120ABF	AATFBF	SND1BF	FASTKD2BF	CSTF2BF	DGCR8BF	STAU2BF	PUM2BF	ZNF800BF	BCCIPBF	CPSF6BF	APOBEC3CBF	NOLC1BF	AKAP8LBF	HNRNPUBF	HNRNPUL1BF	DDX52BF	DHX30BF	WDR43BF	PABPC4BF	FXR2BF	EIF3DBF	GEMIN5BF	PHF6BF	POLR2GBF	FKBP4BF	SUPV3L1BF	FTOBF	MTPAPBF	SRSF7BF	GRSF1BF	YWHAGBF	PUM1BF	TBRG4BF	ZRANB2BF	ZC3H11ABF	HNRNPA1BF	TRA2ABF	DDX51BF	AARSBF	FXR1BF	SUB1BF	NIPBLBF	LARP7BF	NIP7BF	NOL12BF	DDX42BF	SF3B1BF	UTP18BF	NSUN2BF	ABCF1BF	ZC3H8BF	SSBBF	EIF3GBF	NPM1BF	WRNBF	SERBP1BF	DDX21BF	SLBPBF	WDR3BF	GNL3BF	RPS11BF	SBDSBF	PUS1BF	UTP3BF
AARS	0.560648129588168	0.334062984244241	1.22721591959828	2.57219096643451	0.576781247520232	0.217241862755766	2.67902072447295	3.49001282152942	2.46036576557606	2.079910354401	0.440330199500943	-0.575195592668866	1.11082722566285	2.798474044182	-1.41405655905403	0.820802302397869	2.52085622069699	0.1448809516112	-0.0632037876575342	-1.5410117434359	0.869212444689544	5.74450676376504	6.92492379324721	-0.119449772282736	1.45459244259058	0.157788916935169	0.798617375665865	0.28274972406603	-0.703579164284923	-0.708485840400269	-0.145438471562646	2.31048304350294	3.82698288405146	1.71697196053563	4.2409413945836	5.07920382226704	0	5.19722313932103	0.301484090143728	2.18153232450225	-0.839729201024358	0.461037976892618	-1.35311391294989	0.359038575453739	10.2690156612066	2.51557466294794	3.38579795119886	3.16846049106604	0.127871937508512	3.46984871728607	1.90108697418219	0.105518692157853	0.67673455821269	4.52431843517143	0.238471996488881	2.31859664883565	5.11804566788745	0.324613243739674	5.41281138433004	12.6670363477974	4.4909921653997	1.01828057044583	1.02658250186466	0.239658124894255	2.98160850900327	0.0901891601117303	-0.149350361200607	0.665724086892591	8.40855365451482	7.50194580982299	0.560381354192828	3.77512735692317	1.30340404052093	2.95786746105016	0	12.8643013300499	1.32723946668344	3.72128305145074	4.60062742685125	3.73489441171737	1.73547658564492	4.35144416473048	0.369758605405674	0.951191744948446	2.52061794695543	0.832184068936252	10.6541099789516	2.09764317825422	14.5955794078907	1.93425479830933	4.74419979548087	0.358532092742905	4.71421581772232	1.51874353921624	1.02923602134885	1.3334440277704	4.52621278388984	3.78913629168189	4.35386792584386	10.1849718932899	4.20782008436955	5.87824236112372	7.04455712976007	9.06321533861912	13.6568094522752	14.7201835003124	3.24246930859096	0.944182443579178	2.79183668026827	8.6472197657735	19.9499823728409	1.38986427060367	2.17361902137284	8.88709905915071	6.57073845896182	5.30526895185704	3.5844685542681	0.264010793383219	4.6817276549118	13.0401871436126	22.4781337728533	15.4623594868849	8.96402387376977	0.580018733415786	3.51793647565618	7.25438804475438	61.8860404593574	1.41659948366569	1.19020103769542	9.83716475374086	16.0283591507815	11.0401554022154	1.45154180653842	10.383942855888	8.55971566619128	21.6375968851768	3.37986536645669	22.5838672550364	19.8860003030132	6.40002558126807	5.6278897403483	2.15034186102412	4.35853477745457	2.96240717886384	16.5750692572888	5.56670940933776	15.6070104061068	2.50467762412677	4.01763048530614	2.82500940841278	2.58588969234542	2.70752502497199
AATF	2.44960996892089	9.21191690583353	6.49008946414866	43.6229958605968	-0.66773369663775	3.65413443744078	15.6077754234808	2.7309476179077	2.29235439906215	11.4800235677649	1.03120778134498	-2.40276782333249	7.42319256356846	3.51358271972469	-4.83271146656035	28.3113912410174	17.2857033115354	-0.712973253990808	-4.61321790433169	-14.4326833558316	0.0802403584496393	230.544050803542	73.3602225008105	-1.80143773935794	0.7957208571738	-0.197635615533352	20.2655322552827	0.537780671741008	-0.522516868412921	-3.02944506917761	0.0291038143630197	7.93309642276455	15.6428591136918	5.81397544574635	3.42762357108437	10.4327096223881	0.0127215919807621	6.69646201380913	1.75092110104435	0.928854345354673	-8.72129100729241	-0.657155248671477	-0.0645307214015003	-0.251539028867331	134.987111063688	9.37930113661621	36.9921489019033	44.3470947583362	3.15070054929184	10.9449463755126	0.738409151882148	6.70133562939275	-0.569807089821427	0.996950259813034	0.914011141628163	9.72882118629724	9.83619308242707	2.57971079160221	9.17919668569816	23.9680017964902	21.9380504439309	5.20185420781839	13.5103341649355	21.6443183172587	2.64438384160713	1.69084551646204	-0.15488992983494	3.37426719981389	1.50051237902328	0.221080983972176	-0.270789283407206	0.522124487095931	1.99025297489361	11.6005624531949	-2.22557245824379	3.38631164247262	3.57923361809556	4.69386106890592	5.25651424347425	3.75870962641657	3.95137828290532	18.3677257098344	2.51313864152151	0.0304047330850873	24.1336297753451	-0.104995366778085	38.1387881953408	12.2603995184132	Inf	-0.13983712566064	9.8585552443525	-0.279454508384399	6.98228710896464	16.6786743543118	-0.216883850894712	3.08819065115266	0.227002774304795	0.120706026491551	3.10225253018553	196.971547210613	19.9412136000209	-0.2851376833011	24.4916196403379	53.3197213899388	53.3743695494552	33.4815388780514	15.0441380193173	-0.0316267519410586	0.700366988275648	36.4997461479941	130.818034203713	0.320199998742549	8.73470043106473	9.16834382164932	6.85103357839948	20.7323344055708	33.5966756529287	0.438577385321303	6.11840766739505	5.78972073188072	50.3967364031455	40.0532988302854	2.48840347438481	1.20847367114846	5.4096069903437	32.4437551344344	10.5374050125789	0.310172506266171	15.4310644945994	124.93520761762	153.39348124553	155.11865661173	43.7748177392293	17.7722412934939	4.61562002159216	68.1096886868481	0.89866890254931	20.6247885490873	141.570896116297	39.9094696642223	20.8248450452016	10.1831934707763	3.73154040160372	16.9107253369631	36.7675946701317	8.9778918001555	5.09522342435766	5.83575089571946	4.58117498992478	0.682130907406313	1.02839612567514	3.90260241975165
ABCF1	1.46608874032089	1.20177920397135	1.39067840841584	0.103436542159081	0.450900964008868	0.96022388951786	4.22905049941854	1.50172687574218	0.12910579379536	0.168154302105444	1.95073456279423	-0.132714827540524	4.69658764589988	3.35240783448714	-0.495398293621681	0.766779041545122	0.336011857094576	0	0.498291730492794	-2.55386037984862	2.92391424180156	21.100068146567	5.0688615240113	-0.41358715333488	1.09849563957983	0	0.0637668517367209	0.736168980838881	0.0426030944349844	-0.510386973384296	0	0.569728390691188	4.79848053044477	0.349246464254061	3.4592572709668	0.424683655877263	0.101727768391635	2.78732163222857	-0.0746649826852897	0.282043147821713	-0.613925493611277	0.242512766691692	-0.427371205144074	0	17.6998877762729	0.174538365297557	0.232614152372695	0.148193864010109	-0.106102263144281	0.304920399307733	0.92101019073082	0.431663426891737	0	2.77295691918211	-0.0751903161831742	0.944093476931982	2.04554765529651	0.107088082487956	2.15404322917599	8.79378336807161	4.70173369267459	-0.166256680166169	0.225781727668979	0.0755323440443968	0.664465065607855	0.261837442919857	0.739610999031366	1.06227312267802	6.09799494255619	6.83694310195396	0	0.686577301115457	2.72360199286772	0.852330605937337	-0.227385599040746	13.8955606629853	1.54367967670023	0.294500812372594	1.83999341611204	2.21463792675107	-0.506329747945495	3.16371336982404	1.25004260937524	1.28915928411815	11.0013115950007	-0.305368527821057	14.2214969428394	0.0674244245157823	23.8624649985219	0.129897110887572	0.537028583116832	0.0596011972810742	0.228466262410003	0.156997038504696	0.716024037706018	4.27187889970721	2.17331647672564	1.61792604393761	1.30156667274465	28.0682050272397	2.48320986713959	1.97827716112614	11.6524133112479	6.4031610091853	9.62111935077288	15.6757745822137	2.4179098841276	1.49083106907201	4.45073432656966	8.32091282296371	33.2183011352087	1.12939117885961	0.105824766083303	6.48180813812903	4.42354733816254	2.16236423497646	2.76945953330584	0.174549090087948	2.98647936189522	4.36146052212561	25.9194743407435	8.84486138413947	5.68246463167101	0.807841550669482	5.51903661534965	3.66327713279869	20.8615617765502	1.9847014572058	4.86513085620121	21.3898922986724	24.0324513612159	29.9568476228477	21.2777795945792	2.5188809505465	1.95980905388436	26.4397845350767	1.73661822023967	88.6369304722311	46.0556705918799	9.61687546176654	1.04229278015911	1.87532747902468	2.63356754182026	1.48584835434777	6.07526802285931	10.0768562531691	16.2162100168061	2.20522046632013	3.60122848039665	2.54956220004022	2.35484085156003	2.49419945959963
AGGF1	11.7910334512963	-62.7682317551111	-39.013348204567	-3.78113611560307	-1.9101762023164	-82.0448337485116	-37.8329898737228	-2.92989850596494	-9.938685159364	-0.644366655023591	-2.07925202568845	0.977444637608148	11.2326814745037	-7.61481556796018	-0.164651228982228	10.3699049896757	-9.69487522030879	-8.98965194348431	Inf	2.05453051805046	-16.5760732998222	-0.26816769470843	8.55186656255999	-29.093659700433	29.8111268947184	1.15564961378376	0.137002048485702	0.394104221328739	3.1838031736666	-0.693090934888177	-18.2303183200363	-2.80989781248642	-46.852303604367	48.641164145512	Inf	21.5699857505922	-7.01999018449162	-18.1703803491329	-29.6082412645284	-2.36769479966553	-9.28835908927856	-0.20691054187785	-3.31803853117457	0.115461666756826	-8.53669213572747	-4.04269701887721	-1.42466966981475	-0.248645047478553	-0.176644108888562	4.24874128293498	-1.99269520977616	-12.520497078565	-1.66027935979306	-6.06782898566856	-13.6553884567888	-9.29344277332055	-2.13506741798859	-13.8882567188347	-19.0323711816935	-1.12719425854808	-5.34991363064938	-1.78826002270172	-6.67727705608408	-2.47874325443688	-0.231909735817692	3.87319604100082	7.84497027717785	-9.5309366296612	6.97554167384306	14.6037202130156	26.4069499115798	0.201332794819973	0.441369762771747	-17.6757461845089	2.76742532133124	0.131796742310341	-4.22276592717058	-2.76779309188682	2.71852490023269	-16.2127260596079	-2.13194406391189	-0.0595397385695787	-2.53402357897383	-0.307326548060104	-1.32827733670436	0.306551062143525	-0.532549794079852	-2.55272885567004	-1.10039704986955	-9.91520431496937	-2.09904108804426	0.866355628893245	-5.38222918126675	0.806422790799903	-3.93686314155365	-0.828613601058894	-0.7499165009528	13.4415066876458	-2.20167457206017	0.270331838551949	23.5016177501618	1.16540233452724	0.229516891016127	4.45251839330225	0.998683164872094	0.369114567826086	-8.66803085111016	-0.995740676792716	8.55743997418109	-6.4779577596447	0.185586111252426	-0.435389953541406	-5.56295606044222	-4.85748151870967	0.096692294849989	1.96085717009235	0.654306031320163	-1.15151539008571	3.72473986019319	-0.353753477979413	0.838011997218183	-1.18372874584595	0.423583964002613	-0.00787927383011982	2.9578725876708	-1.21335725607808	0.539097095666993	-0.517640287168304	-3.40712179488429	0.291075899928872	-0.227148621665614	-1.27694990389012	-1.58359208259116	-2.66983701192204	-0.186667462123128	0	0.163766962272398	0.374955553364035	-1.15556483689882	-0.530151069014077	-5.04756756364634	-0.100948557610436	-0.175194315903767	0	0.0231439246909178	1.81392099861109	0	-0.314576636952253	-0.331284559454668	0	0	-0.0683511389007133
AGO	26.5693280032455	-38.2029826203713	-43.7063487664471	5.42872449703807	-13.9587917809431	-27.6650005935272	-65.1438461840167	-2.97087857350686	5.37276038141303	-153.077973679978	-0.30421460324305	-63.3173924094796	-56.0292377601558	0.128592830384246	-48.5080220411015	-44.2188197758274	-95.0447788947007	-2.09002967353722	-62.8540232628999	-33.9693023784528	Inf	-18.4324824895919	-57.3430817932606	-21.5825186897159	-68.2042504729445	-36.9991462154769	-113.410693318424	-44.975010533693	-102.694876016781	-48.5495315437194	-34.0040092308562	-115.237933704572	-60.2598569874197	-143.481586714075	-48.8751498394246	-42.8985118096049	5.37819654404977	-32.4539192866138	-12.3862555751429	-12.445741617277	2.08802121107554	-7.32853239565094	-26.551173484819	-62.6447841474739	-36.5146078612038	-22.9488364210527	-132.401147761462	-121.456684936787	-94.414961154802	-66.5761825117261	-1.83299079553324	101.836818389343	29.4200148835284	51.589954209912	-11.951185548383	-41.6143248546786	-1.41399107144927	-115.80197884324	-12.6557830474243	-4.82037504164916	-106.444644804061	-104.788395924395	-8.24995858192928	-7.69136033687292	-0.238453754042391	-48.5672911622014	-15.5219634265403	-6.83911647004411	-5.12485970388603	-15.9881775782101	-20.1466512837787	-40.6377533601657	-1.43740332524409	-41.8438729270094	-7.70236757124717	1.80759184184709	2.0066914610325	6.53582493141231	0.310506976206012	-0.561431446123222	-24.2299284667973	-29.6762364006379	8.31522141984853	-0.256687362894444	-7.44072793176943	-16.8204521697084	-22.0445593383844	-48.9076856532933	-24.795937236931	-0.0762381229115835	-60.2190019638983	-3.3795811937482	-42.3311808642231	-27.1912024906571	99.1793234592144	-1.69151430250537	-15.1657847608599	0.131748346919468	1.45552533057628	-1.7184070337934	-78.9313656981721	-20.8227700454883	-32.7938580942644	-57.6427210552083	-45.313329659529	-5.33324953964082	12.1991273024195	-0.125617399074205	-23.9384461379922	-35.0395629885056	-31.1126294468357	-7.13288057082894	-63.3935115522834	-4.42582085998507	-38.0626973580211	-31.7844529686696	-10.5021597913952	-12.4538162947197	-16.2692856089313	-1.30012336152095	-18.2974527165886	-6.47059977363739	-0.103959301798942	-5.72797700400349	-3.68772959332743	-39.8533240831482	-1.74432964860172	2.50807291848395	14.7149214216121	-0.782619992960754	-1.74584254391538	-0.635091358490223	-4.54641174698349	-3.85830444410405	-3.01109861569584	-9.10547853501047	0.200535849429978	-0.347379721262924	-0.106655108488971	-0.892544163790002	-5.12630132294591	-0.867452271755004	-0.152987372657552	-1.36245417848078	-5.24293018688323	-0.0438769427695436	-2.06722659729522	-1.07374373223363	-2.26031531383085	-0.113752021838097	-0.705055335481181	-0.0348994572948644
AKAP1	39.7428793555194	-2.64152433046452	-1.64121060764129	25.8088468378971	-19.7100157289073	-4.02323781203134	-3.16288373851435	-0.381070433919366	30.6037458795743	0.171316113649236	0.0447346788720577	-7.36189377938316	-4.86527167047184	9.05352909424877	-7.95057413927288	-0.15323860811265	0.614547617095036	-1.16073714185173	-4.51874901324654	-24.4441969306175	21.6635310221684	0.845525691192537	3.95280167546874	-15.3587993859586	-0.518784593087205	-0.567514204224166	-0.291557761167533	1.19254467872278	3.14676039221691	4.21094181822369	0.191037906606125	-0.259371194302445	-1.72745318171478	-0.168879255274047	2.20682229935036	0.869396757059542	4.96754632283307	-1.22055977477677	-3.44812312947701	-0.114749752763831	-5.9603792966305	-2.31942680487465	-3.26765034142391	-4.21829125013323	-0.0757061485009605	-1.43898411630647	-0.103208228611637	1.52244233600038	-5.64155137817899	1.37501296525409	29.62056171896	30.9121706429463	6.09990255768505	Inf	-1.78179311679977	-4.61035080993864	20.1387384725759	-0.044243835385676	-4.01722609872676	50.8588239970626	-0.224400630824327	-0.111223728987805	3.0031724743372	8.94227765042787	2.37127971293664	-5.65102561011545	-2.98011673417599	31.0979980691563	1.56118548681204	4.38313803935184	-2.83835898287083	-0.746164850935965	3.0648008768983	-1.20065492761756	-1.55286214197522	Inf	83.0413909507902	42.7088819400669	81.7215938078701	11.6671254632561	-0.0138621561207569	13.0698552537066	30.3397209487872	13.0940268412208	1.99897987875885	1.04193174834892	3.69908204434122	32.0291107377666	1.19582869904259	12.6953724943432	-0.0912646457304435	0.755636438397528	-0.42283780505397	12.5678195818135	28.1130352590374	1.81561068414531	0.233551142447985	-0.289317577253787	21.9097896351697	8.07114532440279	2.01688742783288	0.343574643979516	-0.789964122256748	12.3445621095064	14.4449076387502	3.44470245194402	75.1810442640713	0.210598514401659	3.99581389869369	6.7691461804463	12.6130669393219	-0.138078744263566	0.0713998533999814	0.661462336036968	2.29802445177382	3.07787470442901	4.41617151205854	10.8391933948021	3.15686574917285	7.97064181803156	20.0573615623107	2.25026534430754	33.5672866358079	0.399749058235423	-1.36756945271906	6.34372120679793	7.65750965157369	-0.131544457997931	26.4124271078169	0.409439585255727	0	-0.039743077109913	1.27926717292544	1.86255366685966	0.118472713740766	1.04374493775784	0.111212810841313	9.30208286586216	0.590266258023561	0.119263212392982	1.64331648523693	0.0988879556187113	1.57458647308355	0.287340510945241	0.155685915091517	0.273472021401129	1.24032344354724	0.314576636952253	2.52341118393635	0.703111041079865	1.07809346615349	0.611064036179643
AKAP8L	15.9011510674588	3.11084388532258	11.2007272860712	0.951359851139239	-20.1314415854372	0.27742038473937	15.2279399056847	-1.59105452122162	8.87420687383719	186.511944045646	-0.168179983585941	-4.38230285721257	-3.04589945037773	6.28282687147583	-9.27156552815988	5.94822072047954	118.188456837296	-3.36791620497277	8.47620113856992	-11.2475719763949	-3.55063449981189	-0.0602078389868112	38.7598041574906	-21.8393865592482	41.686281335425	0.554846929755417	203.396988213533	8.13396571880006	12.6407535019476	11.7297054738808	-0.507541970260175	56.4538921136191	30.3129179065859	226.948117183322	80.1966436203324	54.6394043178155	0.121126054602505	28.18738113232	12.5456698680015	4.49108058571152	-52.0694282194174	-1.78750350662157	-2.36764427583705	25.5262140611178	71.4665836530003	6.23930351802239	300.587909567735	155.30740727426	8.24939850730099	104.478014228532	0.567223233960082	2.51989021390441	-3.11114940938591	2.44671338517263	-1.63938245649412	31.9255974430456	9.0587797803465	126.641593935579	-0.213371563515502	48.4006356981999	204.993499768139	90.02149866752	36.6687680685761	-2.12335976963084	-0.360984574980814	2.80615836231155	0.34963531214466	12.8195454090996	0.990517783274492	2.22671365493985	4.39636966181295	18.953788017074	1.3019700639008	3.6742521948867	-5.03168185260053	5.82834278057433	-0.532303468497022	-0.925021146405801	8.40666442822428	0.018056184450246	9.79490612647742	62.0931913141346	-1.89688640981774	-0.232312000158931	2.91752855465323	1.2502480291402	44.9792339311804	170.774543887126	19.4621967008526	-2.35718672211372	134.203317989919	-2.23452917127086	67.0013109327627	11.6920101531706	-0.975569552323748	-3.28994098746296	2.9565467695659	-0.0199053489228448	3.63388010563909	9.33674948639109	Inf	25.2416563731188	26.2493043187012	142.000931203144	104.455391120715	2.01767977209097	-0.215279512171871	-1.32931951223411	11.9373960338235	104.448133734531	69.6777603560604	4.24421287148807	92.646366724933	0.834540924979141	101.625259926458	54.509270450312	0.255846568341325	4.33479224758339	18.4968411763655	7.03820868293529	40.7423655727353	8.18743947710746	10.3638729371034	3.60907883591368	-2.38209264319806	105.205019053967	1.74101701343792	0.682072605733797	-0.572092905843546	-2.10781163307262	-1.2906706078925	-2.66783217809687	-0.516841601253651	9.49929084231308	1.99497527933766	9.48027633667374	-0.318068161844138	1.07703682304378	-2.29890163298393	-0.068836682799155	6.42061476119688	-0.339939859408477	0	0.972703825463272	10.5447191168034	-0.0722668740789703	1.60694294279672	-0.0704698894865709	0.643070256801046	0.285623684701658	0.427929449094554	0.088255484873383
APOBEC3C	25.1734845470437	3.1708126874675	2.09000983046656	10.7836430772506	-1.51869363115517	2.56739790535975	0.189793612246069	13.0066820136202	8.65991084021512	0.167196152549406	1.57441722656616	-7.55376174792352	-4.74064387314906	4.14027861494212	-14.3897155876153	-2.89689178769502	-0.927493169105129	7.28750251472642	-4.27175717482584	-3.15732973335668	15.6651279485106	0.197814506823078	-0.777568684097865	-3.79304887253663	-9.76571477175857	-3.87023514617041	-1.46882711321927	-3.87326274598262	-3.28219541240005	-0.768626747925006	-1.56675373969379	-2.66441519508936	0.232796459290012	0.406702441308866	-0.22937705536362	-0.470167282463536	22.0418918758263	0.773730408230854	3.10686110661959	8.44993527184917	0	5.2853545425513	-3.57103457043853	-12.8532682236155	1.56653831200094	0.415665717058891	-2.63624753759278	-0.827569004525966	-14.4141488514778	-0.299312300338141	11.3106194758606	14.7545082592688	5.97597468983044	18.6221907094884	-0.470747626641991	-0.274181602173995	14.2016910134186	-0.107088082487956	0.0449393779902071	42.4582371462377	-0.576773489652262	-7.38135460592041	3.2431559691808	4.93552358593525	8.62617989379853	-4.52939934784142	-1.00002613371344	5.75354363910758	0	-1.18354988606535	0.392623986236874	-1.85641074644598	6.96615190099505	-0.176404468061062	-1.40343848871131	23.3210190289297	103.032984864652	11.6413416921832	115.779685678977	51.978484507594	-0.577071315942768	3.26227571737384	11.8041436525571	0.397873881240204	0.431814404944313	-0.0662404461958691	0.0244490671963326	2.83034924405227	1.85368464067439	11.5528656902399	2.55623513202379	2.99023057827245	-0.821929070705042	0.693621744984571	41.1603682224415	25.2345851440698	-0.769119543338765	4.18682084119331	Inf	27.6338728644775	1.95831812265579	-1.08239886985211	-4.52127867332738	0.0255714066844076	0.304227692619958	3.3911774255987	189.898977407534	3.09115275398554	0	7.06052480746829	-0.0390523105841188	0	-4.17722653385361	0.275035311896573	8.27918823852143	0.147631441607237	1.40342160902625	2.43988090554292	0.116305330742401	30.5777567366016	0.71879538149424	0.726639067015482	25.824859555967	0.214507228268461	1.64236395972088	0.557847661352057	2.48694798907883	2.05591328529054	79.8213375010515	9.39119475345001	0.687572254142813	2.33361032771321	1.29809301647995	2.85833981513353	2.91597901171008	1.04833778386621	0.438772596220569	0.644595634434025	4.89963886699706	0	16.7428706364009	0.867452271755004	5.18213964274112	3.37713716401855	4.25204516187916	1.81392099861109	0.707555166662874	1.20887391407867	4.71706537510292	4.94241445803546	0.934835654905333	0.964904273335359
AQR	-48.577852697363	Inf	85.3270587848061	-162.316285482677	-Inf	116.286336179617	2.9779410060914	10.4825312624772	-60.8346959710441	-Inf	-42.014194656427	-Inf	-Inf	-46.1021279235607	-Inf	-Inf	-253.888171606254	-79.9208569041337	-Inf	-Inf	-95.4702494175675	-64.4087571830795	-313.990940355974	-201.56514596767	-295.39602307859	-Inf	-Inf	-176.213454448031	-279.309613587348	-Inf	-13.706359076937	-284.087566060501	0.850156356007954	-Inf	-266.363607142791	-128.733841714519	-4.68946670367889	-4.26352167261984	-48.6004902282192	-83.0646949627252	-170.383292555718	-89.7272593887588	-277.492925309256	-Inf	-59.0999216120249	-85.566465942981	-Inf	-Inf	-Inf	-Inf	-7.38495189593334	-121.664170510403	-70.6009620011569	-112.454151927587	-55.8877184316895	-163.378428796679	-23.2908270450233	-279.722848240886	-2.03126707298158	-128.80772219772	-309.817435043682	-Inf	-291.664362834896	-97.2902452530371	-6.93113930547538	-Inf	-135.152145689287	-64.5704998458232	-54.9324934491552	-124.781692222689	-234.516120270678	-248.96455099332	-22.7642159765387	-16.9841657531026	-232.817211297581	-78.5469568950281	-26.106699831026	-12.756137392594	-60.6223321338456	-2.66365659067872	-67.0742038169985	-167.817762590593	-76.9013452771031	-27.1419250331854	-8.55713063734385	-120.322150910753	-101.426205833714	-Inf	-68.5299181291038	-4.5416078613092	-236.324448692171	-Inf	-176.526999487259	-141.487960433017	-69.2142445754614	-10.3389116932613	-75.8723956637746	-41.3137994820512	-19.2251860273822	-51.7420396066151	-212.280517686534	-100.532181762345	-199.228128474341	-223.209244498356	-141.468651739849	-25.3649532416253	-24.678016898067	-18.0417675622399	-93.4633187782823	-152.056923448493	-91.4248351422052	-30.9798395482998	-181.382023206399	0.111478700061392	-130.945842693847	-57.025045430109	-41.7152776241037	-51.6959664468924	-102.580668501874	-18.7145129557001	-72.5226867056814	-26.9437624350407	-76.1171483530459	-54.4309539151405	-14.768670480739	-113.470377066166	-12.5988005109396	-8.53127960153487	-20.1459644654919	-16.2121207723234	-12.90832218107	-6.7771866711543	-6.99956850787951	-14.2856750611733	-4.54974563774604	-27.0213357027364	-7.50819012033382	-9.27055824756185	-10.0417045152992	-11.0394310828931	-6.64272459108477	-6.56655092829506	-11.74133922071	-8.11770430823731	-16.2479412132973	-3.86830587788137	-4.78293999140887	-6.63409511612448	-5.10603269933705	-2.90703647572196	-4.34095613752566	-1.46045497676383
BCCIP	-0.199366699540724	-0.512664254672977	-0.132765344388989	3.0893386471151	9.79094102538233	-0.110466373804957	-0.720845432780418	-0.736369831329927	-1.0683526753912	10.5293587925538	0.115137464773082	27.2575295226211	7.40702475006998	0.724960526617643	34.0519297497803	3.33581633699466	4.25141075960037	0.0681012603373347	8.20101557492699	15.8506923462777	-0.0484850359704871	7.24602457956586	3.09924884363711	10.3934255575504	14.6569241224618	14.7330548449111	3.67028287455017	12.4305921562474	17.9583293627792	19.8146144309245	-0.0140311350788695	36.4515148126194	-0.161371541675934	4.69928229978299	1.79516874596071	16.0571691208951	-0.0188872227378852	-1.86880133322969	1.45603364087829	-0.401069783178794	-0.278182017726596	0.0498528090136053	20.1859675962224	44.4632001440875	1.57159423190316	0.893168565899494	7.91727558329565	9.79959476653121	73.4398262637545	3.56479346526376	-0.818914047013634	1.60032816348665	12.4893897122153	-0.143600796568161	8.07010608124815	5.14169068874842	-0.133848322246572	8.63354570320557	1.17642841442233	5.34008948135448	6.00292192536462	4.59092762633764	5.12116806775528	2.61131631421719	1.94072344622281	152.075371517941	5.27671098954267	-0.117211209863582	0.0500799979000875	19.6333135519105	0.983301267130307	29.7936823030516	0.420497978776073	0.993981256428795	7.08379398575007	1.07670992629244	-0.767038227809587	-0.133780044233986	0.120655760234045	0	4.4655261547965	3.23178559515504	1.34124856793908	2.26967969753542	-0.311835888220797	12.9195472635431	9.13106515893196	8.924106976795	0.227561076833702	-1.64624986840156	9.35437136115251	13.3256692513004	1.04089615653865	18.0960264061586	-0.04243156739966	0.0343443512557722	Inf	-0.764935529582107	-0.408155336351991	2.18675570867523	3.47647081836637	20.2408132765051	20.0608555243497	2.97172416963241	6.28315956090353	2.6862492575537	-2.74539378417862	1.3881244087596	5.40178277505101	0.878766793140544	1.97870817267552	5.22252144057918	5.63151235412636	0.667708712436581	13.631940810324	1.77777692702001	9.31780220556095	7.1871043002052	1.33334844355496	-0.382986261922025	1.55006085675566	0.676528229366502	8.7528241431603	16.216991917935	-0.552443379009688	0.609636497426922	3.032198582391	-0.0775910699024027	-2.00648600850552	1.60953036993749	0.657558016049634	2.54090974748837	0.183606278341297	0.264206747773227	0.156922854440593	2.68924092778858	0.126357208464326	1.46052680460263	3.98053997988853	2.19953732961108	-0.280698632163741	0.418289293538319	0.832277320370831	2.62601648172352	8.54108529340184	1.06629484224918	3.49827214465815	0.200374613195772	0.211032472448897	0.404161728727467	0.342932587807097	3.49030795776399
