YBX3BF	AQRBF	BUD13BF	IGF2BP1BF	KHSRPBF	PRPF8BF	SF3B4BF	GPKOWBF	IGF2BP2BF	CSTF2TBF	FMR1BF	MATR3BF	PTBP1BF	RBM15BF	SUGP2BF	TARDBPBF	XRN2BF	GRWD1BF	HNRNPLBF	QKIBF	AGOBF	DKC1BF	EIF4G2BF	U2AF2BF	XPO5BF	ILF3BF	NONOBF	DDX59BF	HNRNPKBF	PCBP2BF	PPIGBF	RBFOX2BF	EFTUD2BF	GTF2F1BF	AGGF1BF	CDC40BF	G3BP1BF	DDX24BF	DDX3XBF	UCHL5BF	BCLAF1BF	ZNF622BF	HNRNPCBF	SFPQBF	SMNDC1BF	SRSF1BF	EWSR1BF	FUSBF	HNRNPMBF	SLTMBF	PABPN1BF	DICERBF	FUBP3BF	UPF1BF	U2AF1BF	NCBP2BF	METAP2BF	PRPF4BF	RBM22BF	DDX6BF	DROSHABF	NKRFBF	TIA1BF	TIAL1BF	CPEB4BF	EXOSC5BF	KHDRBS1BF	PCBP1BF	PPIL4BF	SAFBBF	SAFB2BF	TAF15BF	TROVE2BF	SF3A3BF	HLTFBF	AKAP1BF	DDX55BF	IGF2BP3BF	LARP4BF	RPS3BF	RBM5BF	LSM11BF	LIN28BBF	EIF3HBF	SDAD1BF	SRSF9BF	XRCC6BF	FAM120ABF	AATFBF	SND1BF	FASTKD2BF	CSTF2BF	DGCR8BF	STAU2BF	PUM2BF	ZNF800BF	BCCIPBF	CPSF6BF	APOBEC3CBF	NOLC1BF	AKAP8LBF	HNRNPUBF	HNRNPUL1BF	DDX52BF	DHX30BF	WDR43BF	PABPC4BF	FXR2BF	EIF3DBF	GEMIN5BF	PHF6BF	POLR2GBF	FKBP4BF	SUPV3L1BF	FTOBF	MTPAPBF	SRSF7BF	GRSF1BF	YWHAGBF	PUM1BF	TBRG4BF	ZRANB2BF	ZC3H11ABF	HNRNPA1BF	TRA2ABF	DDX51BF	AARSBF	FXR1BF	SUB1BF	NIPBLBF	LARP7BF	NIP7BF	NOL12BF	DDX42BF	SF3B1BF	UTP18BF	NSUN2BF	ABCF1BF	ZC3H8BF	SSBBF	EIF3GBF	NPM1BF	WRNBF	SERBP1BF	DDX21BF	SLBPBF	WDR3BF	GNL3BF	RPS11BF	SBDSBF	PUS1BF	UTP3BF
BCLAF1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	U	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
BUD13	N	U	U	N	N	U	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	N	N	U	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
CDC40	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
CPEB4	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
CPSF6	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
CSTF2	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
CSTF2T	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	U	U	N	N	N	N	N	U	N	U	N	U	U	U	U	N	U	N	U	N	U	N	N	U	N	N	N	N	U	N	N	U	U	U	U	N	N	N	N	N	U	N	U	N	U	U	U	U	N	N	N	N	U	N	N	N	U	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	U	N	N	U	U	U	U	N	N	N	N	N	N	U	U	U	U	U	N	N	N	U	U	N	N	U	N	U	N	N	U	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX21	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N
DDX24	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX3X	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N
DDX42	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX51	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX52	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N
DDX55	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX59	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DDX6	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DGCR8	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DHX30	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
DICER	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N
DKC1	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	U	U	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	U
DROSHA	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	U	N	N	N	N	N	N	N	U	N	U	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	U	N	U	N	N	N	N	N	N	N	U	N	N	U	N	N	N	N	N	U	U	N	U	N	U	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N
EFTUD2	N	U	U	N	N	U	U	U	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	U	N	N	N	N	U	U	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
EIF3D	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
EIF3G	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	U	N	N	N
EIF3H	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
EIF4G2	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
EWSR1	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	U	N	U	N	N	N	N	N	N	N	N	N	N	U	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	U	N	U	N	N	N	N	N	N	N	U	N	N	U	U	N	N	N	N	U	U	N	U	N	N	N	N	N	N	N	N	N	N	N	N	U	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N
