AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FKBP4BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	ILF3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
DDX6	0	0	0	0	0	0	0	0	0.00502884663783358	0	0	0	0	0	0	0	0	0	0.273603354686834	0	5.28475445659035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.194998101221978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489976272508269	0	0	0	0	0	0	0	0	0.0217311169655244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10715000010415	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.0596301525121257	0	0	0.823007485481625	0	0	0	-0.274894037046401	-0.492419625645043	-0.802270552805417	0	0	0	0	0	0	0	0	0	0	0	40.9630132602258	0	0	-0.104923251601668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0335077285037528	0	0	0	0	0	0	0	0	0	0	0	-0.750121532349002	0	0	0	0	0	0	0	-0.0909255053119696	0	0	-0.0664394125173524	0	0	0	0	0	0	-0.181230804543779	0	0	-0.0989181309048646	0	0	0	0	0	0	0	0	0	0	0	-0.0830542610145477	-0.9620738778222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.681837945500118	-0.108976562985609	-0.158956775369047	0	0	0	0	0	0	0	0	-0.153300886508759	-0.664538335614907	0
DKC1	5.59545450192522	0.665881274614771	0	0.329858158884211	0	0	0	0	-0.125314158892856	0	0	0	0	0.091729583090312	0	0	0	0	0	0	0	0	13.929295414211	0	0	0	0	0	0	0	0.091729583090312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352252619712226	0	0	0	0	0.071087630837588	0	4.40334167973249	0	0	0	0	0	4.12037794496542	5.17123965214806	0	7.83647721209819	0	0.198520077860888	0	0	0	0.73738058571633	0	0	0	4.95574926781839	0	0	0	0	0	0	0	0	0	0	0	0	2.67442669371039	0	0	0	0	0.628034337956898	0.481139908514028	0	0	0	0	0	0	0	0	0.0999718277777646	0	0	0.963502031192259	0	0	0	0	0	0	4.09967618081597	0	0	0
DROSHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049380537973739	0	0	0	0	0	0	0	3.33500455702823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226205927018073	0	0	0	0.355722857473732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0354209756467041	0	0	0	0	0	0.0306823131926967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	-1.84854778565289	0	0	0	0	0	0	-0.781571312065465	-0.711156745661549	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.38912574747429	0	21.1811684155553	0	0	0	0	0	0	0	0	0	0	0	0	-0.239002020990936	0	0	0	0	-1.36743488907617	0	0	0	0	-0.142852656159011	0	0	0	0	-0.784491193838961	0	-0.869967311843881	-0.25664104157337	0	0	0	0	-1.08898405877793	-1.20416838528412	0	-1.77951494376826	0	-0.297148876295688	0	0	0	0	0	0	0	-0.424678157587806	0	0	0	0	0	0	0	0	0	0	0	0.88361180009105	0	0	0	0	0	0	-0.295724090225369	0	0	0	0	0	0	-1.30354766647386	0	-0.681837945500118	-0.655017068639003	-2.80198061769156	-0.338969543305039	0	0	0	0	-0.197687766152112	0	-0.667290877108911	-0.704495553075909	-0.521360066049031	0
EIF3D	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.37418477548977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151892776130995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3G	0	0	0	0	0.39170561351505	0	0	0	0	0	0	0	0	0	0	0.053876820741872	0	0	0.367149316826133	0	0	0	0	0	0	0	1.57469983849239	0	0	0	0	0	0	0	0	0.314365021915147	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0.911154191290785	0	0	0	0	0	0	0	0	0	0	0	0.587977732456417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477848180644171	0	0	0	0	0	0	0	0	0	0	0.295724090225369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197687766152112	0	0	0	0	0
EIF3H	0	0	0	0	0	0	0	0	0.125314158892856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79574316867038	0	0	0	0	0	0	0	0	0	0	0	0	0.0335077285037528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0477848180644171	0.0971860193783472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999718277777646	0	0	0	0	0	0	0	0	0	0	0.00449356286198137	0.11471337072677	0
EIF4G2	0	0	0	0	0	0	0	0	0	0	0.00731016170287087	0	0	0	0	0	0.248234630845446	0	0	0	0	0	0	0	0	0	0	0	0.401261096024945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226656623570966	0	0	0	0	0	0	0	0	0.452725681667937	0	0	0	0	0	0	0	0	0	0	0	0	0.121747107414199	0	0	0	0	0	0
EWSR1	0	0	0	0	0	0	0	0	0	0	0	0	1.248515346356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.99641812744094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603628730725063	0	0	0	0	0	0.0306823131926967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EXOSC5	0.356997461778807	0.665881274614771	0	0	0	0	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.380283975002818	0	0	0	0	0	0	0	0.392728842568082	0	0	0	0	0	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432513250182936	0	0	0	0	0	0.425241248346684	0.353190403971454	0	0.271612004127834	0	0	0	0	0	0.73738058571633	0	0	0	0.424678157587806	0	0	0	0	0	0	0	0	0	0	0	0	0.226656623570966	0	0	0	0	0.628034337956898	0	0	0	0	0	0	0	0	0	0	0.0463596031197396	0	0.531250983902938	0	0	0	0	0	0	0.325494746913615	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	0	0	0	0.400699868778777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311909656495542	0.227982441121303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153977815934356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121747107414199	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	0	0	0.125314158892856	0	0.00731016170287087	0	0.336448785907174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.311909656495542	1.71552381430247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10014601361751	0	0	0	0	0	0.16594679672084	0	0	0	0	0	0	0	0	0	0	0	0	0.0769264917198094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0999718277777646	0	0	0.475362326634641	0.371743996231698	0	0	0.0755807231657622	0	0	0	0	0	0
FKBP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186303972124252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.077041378621859	0	0	0	0	0	0	0	0	0	0.0392160326088649	0	0	0	0	0	0	0	0	0	0	0
FMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188969081586451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9196945996118	0	0	1.56632609341762	0	0	0	0	0	0	0	0	0.0962868322475849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0.39170561351505	0	0.0456384371265271	0	0	0	0	0	0	0	0	0.053876820741872	0	0	0.367149316826133	0	0	0	0	0	0	0	0.376921256162547	0	0	0	0	0	0	0	0	1.64220457782099	0	0	0	0.233416429190456	0	0	0	0	0	0	0	0	0	0	0	0	0	0.143115434438336	0	0	0	0	0	0	0	0	0	0	0	0.587977732456417	0	0	0	0	0	0	0	0	0.0730183768163046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295724090225369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0755807231657622	0.197687766152112	0	0	0	0	0
