AATFBF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
CPSF6	0.468573766512095	0	0	0	0	0	0	0	0	0	2.44616188746466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234357523871616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124571489563783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0.120604192640124	0	0	0	0.879034004734032	0	0	0	0	0	0	11.0083646948866	0	0.181164953726527	0	0	0	0	0	0.0407566018658236	0	0	0.449339101514167	0	0	0	0	0.262003223607511	5.68420260559395	0	3.04396639154445	0	0	0	0	0	0	0	0	0	0	0	0.0195381278499799	0	0	0	0	0	0.0405988483035691	0	0	0	0.080174425583022	0	0	0.131147380628412	0.36226857336777	0	0.159941615327034	0	0	0	0	0	1.46348680839722	0.00584826085920883	0	0	0	0.250418572113751	0	0.23782916542459	0	0	0	0	0	0.088665167029099	0.00328650104744495	0	0	0	0	0	0	0	0	0	0.857455505443433	0.799812305608901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298349222550304	0	0	0	0	0	0	0
DDX24	0	0	0	0	0	0	0	0	0	0	0	0	40.1827907868609	0	0	0	0	0	0	0	-0.254256264347482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0195381278499799	0	0	0	0	0	0	0	0	-0.109553693819309	0	0	0	0	0	0	0	0	0	0	0	-0.091876182784402	0	-0.208074397810041	0	0	0	0	1.95759879477282	0	0	0	0	0	0	0.491416171981147	0	0	0	0	0	0	0	0	0	0	0	-0.225694589724727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31543262067852	0	0	0	0	0	-0.191504106895909	0	0	0	0	0.300863605632565	-0.0122057621775044	0
DDX3X	0.0701867364497995	0	0	0	0	0	0	0	0	0	0	0.0647185876948088	0	30.8692405818005	0	0	0	0	0	0	0	0	0.313653481658849	-0.241394978300557	0	0.247674405259399	0	0	0	0	0	0	0	0	0	0	0	0	3.05151239323233	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92579131699478	0	0	0	0.13757684817268	0	2.4266975266461	0	0	0	0	-0.0288884071020029	0	0.228243792217353	0	0.0146711540686045	0	0	-1.21925681528575	0	0	0	0	0	0	-0.0231016666318071	0.194116377317772	0	0	2.21455131842654	0	0	0	0	-0.552841101267088	0	0.428161453137114	-0.225694589724727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.166063382923524	0	0	0	0	0	0	0	0	0	0	-0.300863605632565	-0.0122057621775044	0
DDX42	0	0	0	0	0	0	0	0	0	0.303704889214121	0	0	0	0	0.469087212177765	0	0	0	0	0	0	0	0	0	0	0	0	0.432356303277284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.337956303858938	0	0	0	0	0	0	0	0.431636819109522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163303131757464	0	0	0	0	0	0	0
DDX52	1.23309758825439	0	0	0	0	0	0	0	0	0.246241731409641	0	0	0.129797500592898	0.0871004812981878	0	2.44156912240861	0	0	0.289330745035186	0	0	0.43767771772129	0.313653481658849	0	0	0	0	0	1.1328315410348	0	0	0	0	0	0.045227866782315	0	0	0	0.939982606583869	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278139204622745	0.43681238075788	0	0	0.13757684817268	0.00543423360267692	0.298487812283875	0.366437757334558	0.385208650740465	0	0.359674321449088	0.255760002302075	1.25927345499092	0.163459295447612	0	0	0	1.35165217350442	0	0	0	0.421955085184389	0	0	0	0.088665167029099	0	0	0	0	0.202340329581759	0	0	0	0	0	0	1.15705820521873	0	0	0	0	0	0	0	0	0.573046414311365	0	0	0	0	0	0	0	0	0.566536088879504	0.523696165412715	0	0.277381812286155	0.096756923940046	0	0	0	0.3716396177986	0	0	0.573046414311365
DDX55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1000757623657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0322852122715676	0	0	0	0	0	0	0.409239277990799	0	0	0	0	0	0.159941615327034	0	0	0	0	0	0	0.228243792217353	0	0.0163304382858134	0.131817778132794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.381994050392907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052226589786911	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0998664415435764	7.27998351688897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0839723752768225	0	0	0	0	0	0	0.223448548522431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.167023363008201	0.243981282387912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177866701463975	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	0.33501867257861	0	0	0	0	0	0	0.059956543027744	0	0.246241731409641	0	0	0	0.0855320454436202	0	0.35428904706587	0	0	3.94054281900774	0	0	0.409532198952226	0.300513302011536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173981938069982	0	0	0	0	0.0411954838251074	0	0	0	0	0	0	0	0	0.761712625741363	0.404822074505655	0	0	0	0	0.281285120243877	0.346546224315176	0.357626335016109	0	0.359674321449088	0.210488457876399	0	0.405402701189047	0	0	0	0.473261296225431	0	0	0	0.404822074505655	0.064971909603863	0	0	0	0	0	0	0	0.202340329581759	0	0	0	0	0	0	0.182033404824599	0	0	0	0	0	0	0	0	0.526580260801281	0	0	0	0	0	0	0	0	0.513571173974085	0.482031975943698	0	0.277381812286155	0	0	0	0	0.3716396177986	0	0	0.526580260801281
DGCR8	0	0	0	0	0.236676588944998	0	0	0	0	0	0	0.272979532075397	0	0	0	0	0	0	0	3.42085120673698	0	0	0.313653481658849	0	0	0	0	0	0.365987928014457	0	0	0	0	0	0	0	0	0	0.191388624724352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.35165217350442	0	0	0	0	0.0719331068035225	0	0	0.088665167029099	0	0	0	0	0	0	0	0	0	0	0.428161453137114	0.225694589724727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.194078117308828	0	5.12547567941868	0	0	0	-2.76253376707873	-0.476806586357484	-2.12015154384041	0	0	0	-1.74170946516206	-0.0855320454436202	0	0	0	0	0	0	62.8768539425735	0	-0.115880495643851	-1.36426880105574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.328698710609787	-0.462483687571796	0	-1.54242019874571	0	0	0	0	0	0	0	0	0	-0.254671061246154	-0.221793532520985	0	0	0	0	0	-0.115388023414553	0	0	0	0	-0.0288884071020029	0	0	0	-0.174755635676929	-0.130395016377432	0	-2.08256143346634	-0.0650793613183085	-0.879469847697158	0	0	0	0	-0.491416171981147	-0.194116377317772	0	0	0	0	0	-0.192001017282211	0	-1.48173017414621	0	0	-0.25711321236833	0	0	0	0	0.851330683325132	0	0	0	0	-0.585856989555141	0	0	0	-0.0679099569487531	-2.42032829087055	-1.7397135086185	0	0	0	0	0	-0.0185428251972893	0	0	0	0	-1.10415081964421	-0.463823851918766	0
DKC1	3.37306792112351	0.264435849715684	0	0	0	0	0	0	0	0.246241731409641	0	0	0	0	0	0.343307727294604	0	0	0.289330745035186	0	0	6.29073837769781	0.298046079478876	0	0.45864359866836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385636329730984	0	0	0	0.109553693819309	0.591396607904469	4.180802997521	0	0	0	0	0.213607893081783	3.08991940203935	4.14526409704611	0	0.359674321449088	4.43424875749221	0	0.0998779389325566	0	0	0	1.01099952357201	0	0	0	3.95895424790465	0	0	0.230131380800785	0	0	0	0	0	0.202340329581759	0.34203189615214	0	0	0	0.385636329730984	0	1.54661389973136	0	0	0	0	0	0.172830568244737	0	0	1.31067229065587	0	0	0.0694250993873854	0	0	0	0	0	1.21044862681509	1.17551945038537	0	0.257712334598473	0	0	0	0.052226589786911	3.29638164634555	0	0	1.31067229065587
DROSHA	1.27613846042437	0	0	0	0.0776767033189905	0	0	0	0	0.155033566883094	0	0.469083465472166	0.024777160621173	0.863838473894467	0	0.248672176136096	0	0	0.201463084010436	0.0407566018658236	0	0.186534161359166	9.34382628234782	0	0	0	0	0	0.654555002820841	0	0	0	0	0	0	0	0	0	1.08470473735504	0	0	0	0.0195381278499799	0	0	0	0	0	0.0405988483035691	0	0	0	0.101886789456176	0.159681986067739	0	0	0	0	0.159941615327034	0.147092858759718	0.13791889153499	0	0.312687363440683	0.0538261763213999	0.0549878489427741	0.228243792217353	0	0.0163304382858134	0	0.896892510356744	0	0	0	0.159681986067739	0	0	0.196150201880114	0.688080322180238	0.488246167975227	0	0	0	0.165750984429124	0	0	0	0	0	0.276158756783162	0.477756442715372	0	0	0	0	0	0	0	0	0.31609855122028	0	0	0	0	0	0	0	0	0.269289562017963	0.239190558292325	0	0.18570255311915	0	0	0	0	0.169578501280478	0	0	0.31609855122028
EFTUD2	-1.34700828885834	-0.0991877600294175	0	0	0	0	-0.616634262346417	-0.481101857104341	0	-0.246241731409641	0	-0.307592021505178	-0.291858390552964	-0.863838473894467	0	-0.0175410958600487	0	0	0	0	-0.254256264347482	-0.607810907067326	-0.313653481658849	24.254639995328	0	0	0	0	-0.0711572060112222	0	0	0	0	0	0	0	-0.220640058957584	0	0	0	0	-1.76083225029802	0	0	0	0	0	0	0	-0.0113549427690338	0	-0.639336648219508	-0.72750449980911	-0.626353450350524	0	-0.0275579006990469	0	0	-0.392903364072051	-0.492151570077983	-0.579530854505527	0	-0.101304456760908	-0.604988427057888	-0.0520039674468667	-0.330164140534526	0	-0.174755635676929	-0.14314056865214	-0.09293752226174	-0.470875051586244	0	0	-0.652682389072873	-0.371974059494837	0	0	0	-0.0171224028421363	0	0	-0.234357523871616	0	0	0	0	0.109852707847577	0	0	-0.225694589724727	0	-0.124036805840676	0	0	0	0	0	0	-0.0233168046558768	-0.0244748404996946	0	0	0	-0.0679099569487531	0	-1.4747655703234	0	-0.269289562017963	-0.101051652936763	0	0	0	-0.219287178738053	0	-0.052226589786911	-0.498352045278407	-0.727404596702795	-0.475894256986944	-0.0233168046558768
EIF3D	0.595025682258401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.610862633738782	0	0	0.45864359866836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454339732842423	0.617090306686283	0	0	0	0	0.392903364072051	0	0.579530854505527	0	0	0.474836638742952	0	0	0	0	0	0.692035163190988	0	0	0	0.638279605756221	0	0	0	0	0	0	0	0	0	0.383859624825408	0	0	0	0	0	0.337956303858938	0	0	0	0	0	0	0	0	0.753280957741946	0	0	0	0	0	0	0	0	0.765534989055663	0.716694006733978	0	0	0	0	0	0	0	0	0	0.753280957741946
EIF3G	0	0	0	0	0	0	0	0	0	0	0	0	0	0.914172237658987	0	0	0	0	0	0	0	0	0	0	0	2.08270790398336	0	0	0	0	0	0	0	0	0	0	0	0	0.253446256845314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20666470323831	0	0	0	0	0	0	0	0	0	0	0.174755635676929	0	0	0	0	0	0	0	0	0	0	0	0	0	0.234357523871616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37611881276172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0963145515511808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	0	0	0	0	0	0	0	0	0	0.303704889214121	0	0.307592021505178	0	0	0.469087212177765	0	0	0	0	0	0	0	0	0	0	0	0	2.13357833504699	0.394875228243782	0	0.406238709272255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395798701139738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24016791138675	0	0	0	0	0	0	0	0.431636819109522	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096756923940046	0	0	0	0	0	0	0
EWSR1	0.596795419462001	0	0	0	0.879034004734032	0	0	0	0	0	0	6.06121625545845	0	0	0	0.715617810505486	0	0	0	0.0407566018658236	0	0	0.47000312581007	0	0	0	0	0.262003223607511	9.64592846192583	0	0.215260319141145	0	0	0	0.798305786754584	0	0	0	1.08470473735504	0	0	0	0	0	0	0	0	0	0.0405988483035691	0	0	0	0	0	0	0.131147380628412	0.36226857336777	0	0.159941615327034	0	0	0	0	0	4.05827424476773	0.0260196817412155	0	0	0	0.896892510356744	0	0.0650793613183085	0	0	0	0	0	0.491416171981147	0.0171224028421363	0	0	0	0	0	0	0	0	0	0.276158756783162	1.66497446828801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313490918036918	0	0	0	0	0	0	0
EXOSC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232304338660649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788794771646446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392903364072051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.557630507023779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.788794771646446	0	0	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	0	0	2.3089686637628	0	0.0871004812981878	0	0	0	0	0	0	0	0	0	0	0	0	0	0.432356303277284	0.365987928014457	0	3.992859191258	0	0	0	0	0	0	0	0	0	0	0	0.272596620623811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.298487812283875	0	0	0	0	0	0.340818859505957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428161453137114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.096756923940046	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	0	0.195707522119239	0	0.303704889214121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.372685342838019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19182702110924	0	0	0	0	0	0.0410450557888724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0679099569487531	0	0.108713789803906	0	0.765534989055663	0.716694006733978	0	0	0	0	0	0	0	0	0	0
