AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3HBF	EWSR1BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
NCBP2	0	0	0	0	0	0	0	0	0	0	0	0	1.82592754588345	0.0154101249300643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.989132455659987	0	0	0	0.032119661780488	0	3.53472724072243	0	0	0	0	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372032346796172	0	0	0	0	0	0	0.104095160561317	0	0	0	0	0
NIP7	0.813030565272239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208096347216402	0	0	0.032119661780488	0	0	3.24477276979037	0.0633084412282769	1.05390533647878	0	0	0	0.416464734425454	0	0.208096347216402	0	0	0	0.208096347216402	0	0	0	0	0	0	0	0	0	0.326857598585654	0	0	0	0	0	0.502187565507023	0	0	0.135874734612472	0.384995208951618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NIPBL	0.243474318299201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113613913814863	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.174157644554876	1.00747833426647	0.726293693933937	0	0	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.0170264257769118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.21575422850705	0	0
NOLC1	0.685990058297069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.43967517117743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0894131540289171	0	0	0	0	0	0.930642539591704	0.552947879785409	4.62789605154416	0	0	0	0.229439625454596	0	0.0894131540289171	0	0	0	0.0894131540289171	0	0	0	0	0	0	0	0	0	0.178770725530269	0	0	0	0	0	0.311786146804858	0	0	0.135874734612472	0.309231619076826	0	0	0	0	0	0	0	0	0	0	0	1.35737163992958	0	0
NONO	0.243474318299201	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	1.03465065054984	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170264257769118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PABPC4	0.0738424445243855	0	0	0	0	0	0	0	0	0	0.108564263607377	0	0.0334973378712301	0.0154101249300643	0	0	0	0	0.00144042039701417	0	0	0	0.108564263607377	0	0	0	0	0	0	0	0	0	0	0	0	0.00144042039701417	0	0	0	1.66858087900749	0	0	0	0.032119661780488	0	0	0	0	0	0.0451069311358833	4.35934173854764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372032346796172	0	0	0	0	0	0	0	0.685650498963326	0	0	0	0
PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.82955068081308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP1	0.277993902437102	0	0	0	0	0	0	0	0	0	0	0	0	0.0154101249300643	0.122733122410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.520845240676917	0	0	0	0	0	0	0	0	0	0	0	0	0.429286136613705	0	0.238187229850446	0	0	0	4.3188881247477	0.236081588310305	0	0	0	0	0	0	0	0	0	0.131494260013488	0	0	0	0	0.100602959704635	0	0	0	0	0	0.670224366075027	0	0	0.135874734612472	0.309231619076826	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCBP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154101249300643	0.122733122410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568448546334949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.416464734425454	3.68540537518711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PHF6	0.277993902437102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206733345964323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.266691835562134	0.35129624164481	0.223000727065329	0	0	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256732291361746	0	0
PPIG	-0.243474318299201	0	-0.387501939987279	0	0	-0.248433322809332	0	-0.585680298666359	0	0	0	0	0	0	0	0	0	0	0	-0.0426336552444149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.223000727065329	0	-0.0685745956167184	0	-0.0556700333500497	0	0	19.677338318379	0	0	0	0	0	0	0	-0.792314580209224	0	0	0	-0.969040260727223	-0.589070497262947	0	0	0	0	0	-0.00898864436517211	0	0	-0.342280438075035	0	0	0	0	0	0	0	0	0	-0.619696998763351	0	0	0	0	0
PRPF4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.83457391127643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRPF8	-0.127880044313021	0	-0.387501939987279	0	0	0	-0.0214155652355864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0498500429853379	0	0	0	-0.032119661780488	0	0	0	0	0	0	-0.0685745956167184	0	0	0	0	0	0	3.25192510157855	0	0	0	0	0	0	0	0	0	-0.0274759857650713	-0.100602959704635	0	0	0	0	0	-0.0798132663627811	0	0	0	0	0	0	0	0	-0.249879927173934	0	0	0	0	-0.0384711439425515	0	0	-0.209697596653025	0
PTBP1	0.277993902437102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206733345964323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.266691835562134	0.35129624164481	0.223000727065329	0	0	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256732291361746	0	0
PUM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.90339684019072	0	0	0	0	0	0	0	-0.0274759857650713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.484667568350588	0	0	0	0	0.209697596653025	0
PUM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.20813994885274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBFOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.05807765446158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.93014139639557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0950157626998886	0	0	0	0	0
RBM22	0.000135158726294001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361442118874859	0	0	0	0	0	0	0	0	0	0	8.92041361625776	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874734612472	0.362038864501912	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RBM5	0.140774581013754	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0.0674304363062403	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	2.64818635396615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498500429853379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.56810160164341	0	0	0	0.198657687876654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SF3A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00144042039701417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.39378811060066	0.0274759857650713	0.307278697667676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104095160561317	0	0	0	0	0
SF3B4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.360467415437562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0685745956167184	0	0	0	0	0	0	0	0	-0.550329089280527	0	0	0	0	0	0	0	5.44816733717923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.114981523438033	0	0	0	0	0	0	0	0	0
SMNDC1	0.685990058297069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578685181925672	0	0.299580245368291	0	0	0	0.00631465179927584	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172868618145569	0.0274759857650713	6.67967002641517	0	0	0	0	0	0.0798132663627811	0	0	0.135874734612472	0.0513770347397861	0	0	0	0	0	0	0	0	0.15452107649066	0	0	0	0	0
SND1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.01117895068381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF1	0	0	0	0	0	0	0	0	0	0	0.0190242994629371	0	0	0	0	0	0	0	0	0	0	0	0.0190242994629371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.33163454124233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874734612472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRSF9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0.0439613392902295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.20697451121463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUB1	0.326824302804696	0	0	0	0	0	0	0	0	0	0	0	0	0.716784088191074	0.122733122410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.43524077587641	0	0	0	0	0	0	0.578685181925672	0	0.348274683020823	0	0.0685745956167184	0	0.847401891548608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	2.88600246769068	0	0	0.427221205356719	0.384995208951618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUPV3L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94055657299582	0	0	0.384995208951618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARDBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06289354909622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIA1	0.243474318299201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206783779211953	0	0	0	0	0	0	0	0.266691835562134	0	0.0781188373080099	0	0	0	0.0556700333500497	0	0	0	0	0	0	0	0	0	0	0.131494260013488	0	0	0	0	0.100602959704635	0	0	0	0	0	0.502187565507023	0	0	5.99264434133202	0.384995208951618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TIAL1	0.326824302804696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.578685181925672	0	0.348274683020823	0	0	0	0.416464734425454	0	0	0	0	0	0	0	0	0	0	0.294776695275352	0	0	0	0	0.100602959704635	0	0	0	0	0	0.502187565507023	0.512281371465942	0	0.427221205356719	2.75949532506173	0	0	0	0	0	0	0	0	0.104095160561317	0	0	0	0	0
TRA2A	0	0.227553551583009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56996770457359	0	0	0	0	0	0	0	0	0	0	0	0	0
TROVE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0922251014314867	0	0	0	0	0	0	0	0	0	0	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372032346796172	0	0	0	0	0	0	0	0	0	0	0	0
U2AF1	0	0	0	0	0	0	0	0	0	0	0	0.391577802734181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.73542814254833	0	0	0	0	0	0	0	0	0	0	0
U2AF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36026574253129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0207834226610184	0	0	0	0	11.3960474962833	0	0	0	0	0	0	0	0	0	0
UCHL5	0	0	0	0	0	0	0.199958285798133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.568790545984647	0	0	0	0	0	0	0	0	0	0	0.0183796338847035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.0475814555007	0	0	0	-0.104095160561317	0	0	0	1.15993551782681	0
UPF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874734612472	0.241814074626252	0	0	0	0	0	0.248873345930706	0	0	0	0	0.248873345930706	0	0	0
XPO5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183908116807341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.08581662495093	0	0	0	0	0	0	0
XRCC6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.24847908529669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.550329089280527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114981523438033	0	0	2.37550278632861	0	0	0	0	0.209697596653025	0
XRN2	0.243474318299201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0274759857650713	0.307278697667676	0	0	0	0	0	0	0	0	0	0.234518966927835	0	0	0	0	-0.114981523438033	0	0	0	8.34014548417557	0	0	0	0	0
YBX3	0	0	0	0	0	-0.248433322809332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.300557167132244	0	0	0	0	0	0	0	0	0	0	0.1066463164311	0	0	0	0	0	0	-0.135506936056378	0	0	0	0	0	0	0	0	0	-0.0274759857650713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.6659140490089	0	0	0	0
ZC3H11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135874734612472	0.241814074626252	0	0	0	0	0	0.248873345930706	0	0	0	0	0.248873345930706	0	0	0
ZC3H8	0.191083770717826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593998532746436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.122714861511925	1.00747833426647	1.24784754699042	0	0.0685745956167184	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.00182529872143356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.94055657299582	0	0
ZNF622	0	0	0	0	0	0	0.526795874062307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1547339776369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.959765217814988	0	0	0.160168434700342	0	0	0	0	9.70243457491004	0.245761195714956
ZNF800	0	0	0	0	0	0	0.23513638640977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77753844441611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114981523438033	0	0	0	0	0	0	0	0.396291680117785	6.25226536897529
