AATFBF	AGGF1BF	AGOBF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX55BF	DDX59BF	DDX6BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3HBF	EWSR1BF	FMR1BF	FTOBF	FUSBF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPKBF	HNRNPMBF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SF3A3BF	SF3B4BF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF
CSTF2T	0.277993902437102	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0.00294784431208566	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0.107081444042433	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100602959704635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX24	0	0	0	0	0	0	0	0	0	0	0	11.5145315012427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537994095245992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.397226329064543	0	0	0	0	0	-0.104095160561317	0	0	0	0	0
DDX3X	0	0	0	0	0	0	0	0	0	0	0	0	6.25000288463329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.732092944538571	0	0	0	0	0	1.21418612584106	0	0	0	0	0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00372032346796172	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0	0	0	0	0	0	0	0	0	0	3.40030433052251	0.122733122410661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.491627160553412	0	0	0	0	0	0	0	0	0	0	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.502187565507023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0397270206944011	1.49829492554149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0498500429853379	0	0	0	0	0	0	0	0	0	0	0	0	0.0556700333500497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0798132663627811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	0	0	0	0.295555942179685	0	0	0	0	0	0	0	0	0	0	0	1.26035596136606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137961171008494	0	0	0	0	0	0	0	0	0	0	0	0.0493596238587793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.153530709112185	0	0.582506096001343	0	0	-0.248433322809332	0	-0.856390385979277	0	0	0	0	0	0	0	0	18.8673537828864	0	0	-0.294313073557404	0	0	0	0	0	0	0	0	0	0	-0.568790545984647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0274759857650713	-0.00809155096707637	0	0	0	0	0	0	0	0	-0.247124636960342	0	0	0	0	0	-0.114981523438033	0	0	0	0	0	0	0	0	0
DKC1	0.191083770717826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.02478176220321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.255057228791398	0	0	0	0	0	0.122714861511925	0.123753381244232	1.24784754699042	0	0	0	0	0	0.255057228791398	0	0	0	0.255057228791398	0	0	0	0	0	0	0	0	0	0.00182529872143356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0307297464911386	0	0
DROSHA	0.191083770717826	0	0	0	0	0	0	0	0	0	0.131650721467893	0	0	0	0	0	0	0	1.90052769852823	0	0	0	0.131650721467893	0	0	0	0	0	0	0	0	0	0	0	0	0.0443405294703107	0	0	0	0	0	0	0	0.032119661780488	0	0	0	0	0	0.0674304363062403	0.0685745956167184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00182529872143356	0	0	0	0	0	0	0	0	0.0207834226610184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EFTUD2	-0.277993902437102	0	0	0	0	-0.248433322809332	0	0	0	0	0	0	0	0	0	0	0	0	-0.00294784431208566	6.13984229270423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0443405294703107	0	0	0	-0.0498500429853379	0	0	0	-0.032119661780488	0	0	0	0	0	0	-0.1066463164311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0207834226610184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
