AATFBF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
CPSF6	0.517074080976522	0	0	0	0	0	0	0	0	0	2.62300191436298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211861838354561	0	0	0	0	0	0	0	0	0	0	0.0679215479567194	0	0	0	0	0	0	0	0	0.101578603921335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSTF2T	0.153459574105535	0	0	0	1.0512619261757	0	0	0	0	0	0	11.9665630127384	0	0.263851323011255	0	0	0	0	0	0.0666004758508345	0	0	0	0.517009946232943	0	0	0	0	0.347193199675972	6.07227653834186	0	3.30852890786678	0	0	0	0	0	0	0	0.00642581965868157	0	0	0	0.0558230256251316	0	0	0	0	0	0.0496118749815522	0	0	0	0.128404452685129	0	0	0.122226849016384	0.382811010024882	0	0.154198424270629	0	0	0	0	0	1.53932697426928	0.0574335981656159	0	0	0	0.317223021291103	0	0.39441471264072	0	0	0	0	0	0.0675103034406382	0	0	0	0	0	0	0	0	0	0	0.979687018880045	0.987778947257099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442031309690422	0	0	0	0	0	0	0
DDX24	0	0	0	0	0	0	0	0	0	0	0	0	49.5127354246286	0	0	0	0	0	0	0	0	-0.642405172176445	0	0.104582308117941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118936722388955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.210360657658049	0	-0.31633371990604	0	0	0	0	2.27888618728102	0.000849816092626342	0	0	0	0	0	0.635933633925685	0	0	0	0	0	0	0	0	0	0	0	-0.210664602543671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.12746250124192	0	0	0	0	0	-0.442031309690422	0	0	0	0	0.605210716598487	0	0
DDX3X	0	0	0	0	0	0	0	-0.1434054916255	0	0	0	0.0281122917264341	0	44.2792343668565	0	0.171933693371148	0	0	0	0	0	0	0	0.309906174395594	-0.302934966606222	0	0.791868841190821	0	0	0	0	0	0	0	0	0	0	0	0	2.92977361047463	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36463762771581	0	0	0	0.0358633060575633	0	2.38146714472788	0	0	0	0	-0.147486855871694	0.0207265986804115	0.0808794244640861	0	0	0	0	-1.39840451056984	0	-0.0656736343153545	0	0	0	0	-0.153385775378467	0.408279859024193	0	0	4.13503347746689	0	0	-0.017488029988752	0	-1.13170219178706	0	0.339597397743115	-0.20814000500697	0	0	0	0	0	0.0183346045026017	0	0	0	0	0	0	0	0	-0.0896346372400472	-0.623465280572798	0	0	0	0	0	0	0	0	0	0	-0.677285192596833	-0.165652025393641	0
DDX42	0	0	0	0	0	0	0	0	0	0.312420441199841	0	0	0	0	0.503984037496208	0	0	0	0	0	0	0	0	0	0	0	0	0	0.51745090176405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37847640054153	0	0	0	0	0	0	0	0.467158078573164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.221613647959588	0	0	0	0	0	0	0
DDX52	1.07139804130142	0	0	0	0	0	0	0	0	0.266425417246556	0	0	0.0560822133818649	0.519023852159708	0	5.05070140827769	0.118584089239895	0	0.297694807146252	0	0	0.114239224895997	0.348514566531689	0.309906174395594	0	0	0.0740518199548252	0	0	1.10473720819613	0	0	0	0.0276996511857625	0	0	0	0	0	1.85266099937393	0	0	0	0	0	0	0	0.0633302207329896	0	0	0	0	0	0.28067313805125	0.357642635520593	0	0	0.0880720032179147	0	0.28566887372571	0.369310541147328	0.328960584415551	0	0.382520433314895	0.216627020507301	1.08570141317592	0.155807175436651	0	0	0	1.26738882592073	0	0	0	0.357642635520593	0	0	0	0.0366802690276607	0	0	0	0	0.201523268255157	0	0	0	0	0	0	1.04096386313485	0	0	0	0	0	0	0	0	0.533667571762515	0	0	0	0	0	0	0	0	0.470552211239265	0.455951951037756	0	0.314228160991011	0.0741039968952589	0	0	0	0.343613188958375	0	0	0.533667571762515
DDX55	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193480679253228	0	0.226789004235233	16.6001854773801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.181766218830588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447760986419998	0	0	0	0	0	0.144230847764166	0	0	0	0	0	0	0.31633371990604	0	0.0199735132483791	0.0676493037934547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.377379760572597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118584089239895	7.72559020411268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206505508373132	0	0	0	0	0	0	0.28067313805125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192982740517188	0.23408010761566	0	0	0.0444384340314672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140764583148325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX6	0.381932527798211	0	0	0	0	0	0	0.0763197032557956	0	0.266425417246556	0	0	0	0.11383283893497	0	0.34904792466968	0	0	4.29258774237498	0	0	0	0.408717067556291	0.309906174395594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.202991256850761	0	0	0	0	0.126192725356927	0	0	0	0	0	0	0	0	0.873250174311701	0.410060937527239	0	0	0	0	0.28566887372571	0.393705030892786	0.374565400327184	0	0.382520433314895	0.263377786435766	0	0.539899320372503	0	0	0	0.540384738156621	0	0.0537309978817967	0	0.410060937527239	0.0643343894724934	0	0	0	0	0	0	0	0.201523268255157	0	0	0	0	0	0	0.210664602543671	0	0	0	0	0	0	0	0	0.587629514056492	0	0	0	0	0	0	0	0	0.528707575048513	0.512520775895227	0	0.314228160991011	0	0	0	0	0.3637085788636	0	0	0.587629514056492
DGCR8	0	0	0	0	0.255929698126028	0	0	0	0	0	0	0.288839615205967	0	0	0	0	0	0	0	5.24211565661267	0	0	0	0.309906174395594	0	0	0	0	0	0.324307336869736	0	0	0	0	0	0	0	0	0	0.202991256850761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0325978525596746	0	0	0	0	0	0	0	0	0	0	0	0	0	1.28463396566944	0	0	0	0	0.0643343894724934	0	0	0.0366802690276607	0	0	0	0	0	0	0	0	0	0	0.453201751800359	0.210664602543671	0	0	0	0	0	0	0	0	0	0	0	0	0.0445864231159032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
