AATFBF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DGCR8BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B1BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TARDBPBF	TBRG4BF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	YWHAGBF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
DHX30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817241662335519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.454757628449035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DICER	-0.279255379044963	0	7.27036238991392	0	0	0	-3.48767522216157	-0.587514259518064	-2.81356525625603	-0.203746884204559	0	0	-2.92204882333072	-0.263851323011255	0	0	0	0	0	0	0	78.0270446268598	0	-0.117727531937434	-2.27834282448275	0	0	0	0	-0.00724342396637545	0	0	0	0	0	0	0	0	0	-0.498679409833196	-0.329848246542995	0	-1.45370304213238	-0.118936722388955	0	0	0	0	0	0	0	0	-0.599504588675629	-0.296168737333596	0	0	-0.00889420314743376	0	0	-0.154198424270629	0	0	0	0	-0.173385906943656	0	0	0	-0.213596549804388	0	0	-2.55598089750692	-0.39441471264072	-1.17039235961773	0	0	0	0	-0.960087323650991	-0.57888384825724	-0.123786368194833	0	-0.175697205970832	0	0	-0.38425239562395	0	-2.10552664644064	0	0	-0.37847640054153	0	0	0	0	0.66334574229958	-0.0517715661883715	0	0	0	-0.622357868687196	0	0	0	0	-2.71542215172467	-2.38612901097946	0	0	0	0.0295492773564836	0	-0.120938379655926	0	0	0	0	-1.72053816025973	-0.70835000192865	0
DKC1	4.20465457313318	0.255434886595536	0	0	0	0	0	0	0	0.203746884204559	0	0	0	0	0	0.257737797809478	0	0	0.261985202343165	0	0	0.13994953789915	9.66308801082596	0.259020375552562	0	0.449300432573089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385221029822462	0	0	0	0	0.529348524947945	4.98867690557466	0	0	0	0	0.154198424270629	2.96820497641612	4.86295222441101	0	0.382520433314895	5.02784097539677	0	0.0657584234602034	0	0	0	1.01340601809231	0	0	0	4.98867690557466	0	0	0.243846314071364	0	0	0	0	0	0.201523268255157	0.262168377858903	0	0	0	0.385221029822462	0	1.90598761854986	0	0	0	0	0	0.102751789090378	0	0	1.27774130396456	0	0	0.041546586736708	0	0	0	0	0	2.06952221243349	1.1246022642154	0	0.22863066611039	0	0	0	0	4.16904105056034	0	0	1.27774130396456
DROSHA	1.35273469496254	0	0	0	0.124717686401709	0	0	0	0	0.203746884204559	0	0.619321037541036	0.19487354831938	0.64103532612469	0	0.254672244975897	0	0	0.247274248406347	0.0666004758508345	0	0	0.151887449965482	11.2081000026165	0	0	0	0	0	0.702116988766835	0	0	0	0	0	0	0	0	0	1.25711227331775	0	0	0	0.0558230256251316	0	0	0	0	0	0.0496118749815522	0	0	0	0.128404452685129	0.179253125124406	0	0	0	0	0.154198424270629	0.177009047164718	0.143662941356059	0	0.368365390218155	0.102162533797025	0.0644049772798439	0.31633371990604	0	0.0399017392869009	0	1.01340601809231	0	0	0	0.142530318099666	0	0	0.243846314071364	0.960087323650991	0.57888384825724	0	0	0	0.196736628178698	0	0	0	0	0	0.323437092582337	0.518579597642177	0	0	0	0	0	0	0	0	0.362310195248211	0	0	0	0	0	0	0	0	0.266851973187918	0.258216650978784	0	0.212396931120038	0	0	0	0	0.157197080535576	0	0	0.362310195248211
EFTUD2	-1.41177428787761	-0.0959052659018644	0	0	0	0	-0.748872339365303	-0.862396091779099	0	-0.266425417246556	0	-0.303500712557003	-0.295270045620225	-0.519023852159708	0	0	0	0	0	0	0	-0.540283943368988	-0.793973308383524	-0.321570912950724	29.9389327347507	0	0	0	0	-0.00724342396637545	0	0	0	0	0	0	0	-0.17830875679896	0	0	0	0	-2.25250116977877	0	0	0	0	0	0	-0.0496118749815522	-0.213678110513167	0	-0.349978008614107	-1.18855411504701	-0.665731939826409	0	-0.0911053487042404	-0.00461650575624019	0	-0.601708673753158	-0.546594116060876	-0.467160966989166	0	-0.115043626493825	-0.564398873062648	-0.259809500493609	-0.520867359093751	0	-0.213596549804388	-0.23408010761566	-0.0940515517394511	-1.17997315334445	0	0	-0.690555523551441	-0.231414725185956	0	0	0	-0.170878875284472	0	0	-0.522098870674885	0	0	0	0	0.358181854360895	0	0	-0.097832576495026	0	-0.228867698235837	-0.0679215479567194	0	0	0	0	0	-0.0340765015309265	-0.0655973168036013	0	-0.0785084792263326	0	0	-0.157608298972921	-1.93589400277612	0	-0.293442048828676	-0.191505919233545	0	0	0	0	0	0	-0.584548888203689	-1.2216960157504	-0.696148348864297	-0.0340765015309265
EIF3D	0.644332071707597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.632433460421087	0	0	0.512821707937179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515420239303186	0.649512924256143	0	0	0	0	0.422087135440751	0	0.597194386772613	0	0	0.519879363566294	0	0	0	0	0	0.776948226234837	0	0	0	0.670702223326082	0	0	0	0	0	0.0515815842469098	0	0	0	0.346328716758895	0	0	0	0	0	0.37847640054153	0	0	0	0	0	0	0	0	0.804248423804206	0	0	0	0	0	0	0	0	0.761380283745788	0.727113626891112	0	0	0	0	0	0	0	0	0	0.804248423804206
EIF3G	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37869521554629	0	0.34904792466968	0.118584089239895	0	0	0	0	0	0	0	0	0	5.29597966937212	0	0	0	0	0	0	0	0	0	0	0	0	1.9249335819808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138836186198387	0	0	0	0	0	0	0	0	0	0	0.213596549804388	0	0	0	0	0	0	0	0	0	0	0	0	0	0.175697205970832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF3H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.8218706743885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160891666466529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EIF4G2	0	0	0	0	0	0	0	0	0	0.312420441199841	0	0.355134940945608	0	0	0.503984037496208	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31015344154496	0.446886068292793	0	0.492463001034349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.375403666442825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.278908083959298	0	0	0	0	0	0	0	0.467158078573164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151591300358054	0	0	0	0	0	0	0
EWSR1	0.644332071707597	0	0	0	1.0512619261757	0	0	0	0	0	0	6.45878893601308	0	0	0	0.665937484724005	0	0	0	0.0666004758508345	0	0	0	0.517009946232943	0	0	0	0	0.347193199675972	11.3658611661404	0	0.263316977120336	0	0	0	0.62348632561508	0	0	0	1.25711227331775	0	0	0	0	0	0	0	0	0	0.0496118749815522	0	0	0	0	0	0	0.122226849016384	0.382811010024882	0.200298131247506	0.154198424270629	0	0	0	0	0	3.82658373847678	0.0574335981656159	0	0	0	1.01340601809231	0	0.0690833560719467	0	0	0	0	0	0.960087323650991	0	0	0	0	0	0	0	0	0	0	0.323437092582337	1.81154163158042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442031309690422	0	0	0	0	0	0	0
EXOSC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319830774459002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875543676091651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422087135440751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0515815842469098	0	0	0	0	0	0	0	0	0.643831943392743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.875543676091651	0	0	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	0	0	2.56895697885875	0	0.158330323370444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.422294360786394	0.374007549705253	0	4.25932449311971	0	0	0	0	0	0	0	0	0	0	0	0.279245655069007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.288430137380903	0	0	0	0	0	0.307849786093073	0	0	0	0	0	0	0.0686873709943324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453201751800359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121316269476693	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	0	0.131292913974728	0	0.312420441199841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42204457802654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164952722000332	0	0	0	0	0	0.00934505252342861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0181132986080559	0	0.639000034904519	0.662590271448657	0	0	0	0	0	0	0	0	0	0
FMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280534024292233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9934986878923	0	0	1.30264694777336	2.99985948698025	0	0	0	0	0	0	0	0	0	0.0633302207329896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0	0.0797340678050717	0	0.0763197032557956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.24211565661267	0	0	0.245453163985663	0.628601926205685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.120086224310087	0	0	0	0	0	0.115715891464359	0
FUS	0	0	0	0	0.255929698126028	0	0	0	0	0.266425417246556	0	0.219828107225839	0	0	0	0.291239987319876	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03060528528542	0	0	0	0	0	7.67504527500882	0	0	0	0.148787042229885	0	0	0	0	0	0	0	0	0	0	0	0	0.0373141874503104	0	0	0	0	0	0	0	0	0	0	0	0	0.241719202184528	0	0	0	0	0.456967380617184	0	0	0	0	0	0	0	0.00611256168081359	0	0.0575311619762614	0	0	0	0	0	0	0	0	0	0.391337207616084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.149938497424739	0	0	0	0	0	0.039246400687249	0	0	0	0	0	0	0
FXR1	0	0	0	0	0	0	0	0	0	0	0	0	0.121301989569615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75123306600942	0	0	3.68648513504094	1.13620383995239	0	0	0.0202795128067575	0	0	0.279245655069007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23408010761566	0	0	0	0	0	0	0	0	0.0675103034406382	0	0	0	0.211861838354561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0628739467276792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXR2	0	0.153657754225074	0	0	0	0.438189535924813	-0.0625054383403548	0.664031775891253	0	0.312420441199841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14245772811671	0	0	0.910848171496669	19.7500044736643	0.628601926205685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0171990705562135	0	0.386215486775614	0	0	0	0	0	0	0	0	0	0	0.000714344830170607	0	0	0	0	0	0	-0.0545842424652931	0	0.479901137084464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0140050434721062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466196922296346	0	0	0.182809342560002	0	0	0	0	0	0	0	0	0.398936146413555	0
G3BP1	0	0	0	0	0	0.117748648126759	0	0.0763197032557956	0	0	0	0	0	0	0	0	0.118584089239895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203863068353052	0	0	0.717611131552752	28.5134348101991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17475490819027	0	0.413683622905296	0	0.0460424350109083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.019063833251487	0	0	0	0	0	0	0	0	0.211861838354561	0	0	0	0	0	0	0	-0.210664602543671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.719025569556046	0	0	0.0156926149409056	0	0	-0.00475044414983151	0	0	0	0	0	0.116772861341145	0
GEMIN5	0.088819768252004	0	0	0	0.0207730564108935	0	0.0884967727570866	0	0	0	0	0.0281122917264341	0	4.46106861048928	0	1.0222813220628	0	0	0.181123508076879	0	0.191433005370369	0	0	0.870242493057989	0	0	2.19263283451895	0	0	1.10473720819613	0	0	0	0	0	0	0	0	0	15.8738084438383	0	0	0	0	0	0	0	0	0	0	0.00775144390554997	0	0	0.352751962951679	0	0	0	0	0.119516843771981	0.366640300762062	0	0	0	0	0	0.511008733849395	0.000714344830170607	0	0	0	0.800150332444682	0	0	0	0	0.0792060625474537	0	0	0.0366802690276607	0	0	0	0	0	0	0	0	0	0	0.235423745515547	0.343973908094559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPKOW	0	0	0	0	0	0	0.0884967727570866	0.587514259518064	1.49319751862984	0.266425417246556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302934966606222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.3281571895651	0	0	0.174884181268948	0	0	0	0	0	0	0	0	0.24821953915381	0	0	0	0	0	0	0.211186937056672	0	0	0	0	0	0	0	0	0	0.604923781929625	0	0	0	0	0	0	0	0	0	0	0.636434578989294	0	0.211861838354561	0	0	0	0	0	0	0	0.210664602543671	0	0	0	0	0	0	0	0	0	0.622357868687196	0	0	0	0	0.23230482805603	0.171413190613696	0	0	0	0	0	0.442031309690422	0	0	0	0	0	0.388070218278417	0
GRSF1	0	0	0	0	0	0	0	0.0763197032557956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.18910425508487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.211861838354561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228201401429755	0	0	0	0	0	0	0	0.116772861341145	0
GRWD1	-0.377965453489034	0	0	0	0	0	-0.102482656064431	0.0763197032557956	0	0	0	-0.0495599013578313	0	0	0	0	0	0	0	0	0	-0.13994953789915	-0.430695762336266	-0.309906174395594	-0.71888444336793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.6072444681303	0	0	0	0	0	0	0	0	0	0	0	-0.329861952771598	0	0	0	0	0	-0.319420443346451	-0.39944668167668	0	0	-0.147486855871694	0	0	0	-0.148936390390136	0	-0.0940515517394511	1.39840451056984	0	-0.056039771523416	0	0.430495906751946	0	0	0	0	-0.0776342345694227	0	-0.160891666466529	0	0	0	0	-0.782725775563751	0	0	-1.09020847213619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.64650781046638	0	-0.0159297921960858	0	0	0.00139407495864823	-0.248625954950151	0	0	0	0	1.61724028310442	0.962653519547074	0
GTF2F1	0	0	0	0	0	0	0	0	0	0	0	0.0958528023864192	0.323480791899047	0	0	0	0	0	0	0	0	0	0	0.259020375552562	0	0	0	0	0	0	0	0.274319293673228	0	0	0	0	0	0	0	0	0.16346452100947	0	0	9.66220842974631	0	0	0	0	0	0	0.810454959110193	0	0	0	0	0	0	0	0	0.506053088527272	0	0	0	0	0	0	0.357408989234568	0	0.266306473140759	0.604923781929625	0	0	3.55062546951613	0	0	0	0	0	1.49949624470437	0.0427637947644793	0	0	0.859869461673673	0	0	0	1.25524184314471	0	0	0.333559735176607	0	0	0	0	0	0	0	0	0	0	0.19154532523463	0	0	0	0	0	0.0181132986080559	0	0	0	0	0	0.525979071251994	0	0	0	0	0	0	0
HLTF	0	0	0	0	0	0	0	0.487209544005473	0	0	0	0	0	0	0	0	0	0	0.297694807146252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.42703716258907	0	0	0.0633302207329896	0	0	0	0	0	0	0	0	0	0	0	0.28566887372571	0	0	0	0	0	0	0	0	0.192982740517188	0	0	0.0222854491974391	0.0444384340314672	0	0	0.0643343894724934	0	0	0.0366802690276607	0	0	0	0	0	0	0	0	-0.0273100178564204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0785084792263326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.785872543624763	0.0595431449465939	0
HNRNPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16346452100947	0	0	0	0	0.30628798550606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37847640054153	0	0	0	0	0	0	0	0	0	0.160173956927185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPK	0	0	0	0	0.255929698126028	0	0	0	0	0	0	0	0	0	0	0	0.0995324139403821	0	0	0	0	0	0	0	-0.0634428194988046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.4078283414523	0	0	0	0	0	0	0.230940418976757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.163519279707916	1.8241899934042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140764583148325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223320380895788	0	0
HNRNPM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34904792466968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103942708116121	0	0	0	0	0	0	0	0	0	0	0.126192725356927	0	0	3.5138196436788	0	0	0	0	0	0	0	0	0	0	0	0.288430137380903	0	0	0	0	0	0	0	0	0.213596549804388	0	0	0	0.0686873709943324	0	0	0	0	0	0.0675103034406382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00228201401429755	0.314228160991011	0	0	0	0	0	0	0	0
HNRNPUL1	0.644332071707597	0.546921930384687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0505473825424977	0.632433460421087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466504651270739	0	0	0	0	0	0.649512924256143	0	0	0	0	0	0.546594116060876	0.597194386772613	0	0	0.519879363566294	0	0	0	0	0	0	0	0	0	0.670702223326082	0	0	0	0	0	0	0	0	0	0	0	0	0	0.466504651270739	0	0.37847640054153	0	0	0	0	0	0.377379760572597	0	0	0	0	0	0.207290530076821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.584548888203689	0	0	0
IGF2BP1	0.088819768252004	0	0	0	0	0	-0.0884967727570866	0	-0.177851115201443	0	0	0.0281122917264341	0	0	0	0	0	0	0	0	0	0	0	0.126119117380545	-0.302934966606222	0	0	0	0	0.00724342396637545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.0189584956173	0.55567254810577	4.16947603112175	0	0	0	0	0	0	0	0	0	0	0	0	0	0.038865894230155	0.000714344830170607	0	0	0.0561401158600674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184996492964057	0	0	-0.33727657513976	0	0	0	0.230913280517277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050620086377819	0	0	0	0	0.116772861341145	0
IGF2BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0234396027099093	0	0	0	0.51255156281538	0	0	0	0	0	0.583513166706802	12.4475230722391	0	0	0	0	0	0	0.00182092714278844	0	0	0	0	0	0.382520433314895	0	0	0.337300575730233	0	1.72772087819305	0.0936115865145313	0	0	0.0690833560719467	0	0	0	0	0	0	0	0	0	0.852325361759487	0.201523268255157	0.262168377858903	0	1.25524184314471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173013162166674	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0672510822118122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06384359595995	0.249004748478799	7.37879517233938	0.0577908987597343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192982740517188	0.23408010761566	0	0	0	-0.0240113520958914	0	0.0643343894724934	0	0	0	0	0	0	0	0	0.272166892180488	0	0	0	0	0	0	0.00485762691410717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.17991379751912	0
KHSRP	0	0	0	0	0	0	0	0.295544357113864	-0.167940820026692	0.203746884204559	0	0	-0.112132699061718	-0.0716746853571353	0	0	0	0	0	0	0	-0.537770510339841	0	0	-0.605576976488583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.1513925680835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.3113420479549	-0.0444384340314672	-0.187967345919065	0	0	0	0	-0.0366802690276607	0	0	0	0	0	0	0	0	-0.416123447768306	0	0	-0.172709087243156	0	0	0	0	0	0	0	0	0	0.384945133332253	0	0	0	0	0.966954039328458	0	0	0	0	0	0	-0.151591300358054	0.0456744294436419	0	0	0	0	0	0
LARP4	0.257411355580233	0	0	0	0	0.717011710001823	0	0	0	0.266425417246556	0	0	0	2.46446881457153	0	0.0122980012852507	0.118584089239895	0	0.297694807146252	0	0	0	0.343500830331106	0.0285665693033087	0	0.175235697493739	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157053787861601	0	0	0	0	0	0	0	0	0	0	0	0	0	22.620248264808	0.357642635520593	0	0	0.382811010024882	0	1.53984522156682	0	0.299420939407877	0	0.115043626493825	0.454190668485705	0	5.0207009051097	0	0.266306473140759	0.23408010761566	0.540384738156621	0	0	0	0.357642635520593	0	0	0	0	0	0	0	4.82643683857595	0	0.0728611112866311	0	0	0	0	0	0.097832576495026	0.0410328141001472	0	0	0	0	1.01149288564446	0	0	0.722811329258139	0	0	0	0	0	0	0	0	0.543008341583532	1.20524047681722	0	0.314228160991011	0	0.94879246497982	0	0	0	0	0	0.722811329258139
LARP7	4.54036078873162	0.255434886595536	0	0	0	0	0	0	0	0.266425417246556	0	0	0	0	0	0.291239987319876	0	0	0.297694807146252	0	0	0.260989852074522	5.23508172777035	0.299963870565682	0	0.449300432573089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.385221029822462	0	0	0	0.0373141874503104	0.602704708404524	6.43786196859543	0	0	0	0	0.211186937056672	4.21329889605183	6.51151714520301	0	0.382520433314895	5.59703212934991	0	0.114792380814094	0	0	0	1.09233129825972	0	0	0	5.33447261807838	0	0	0.243846314071364	0	0	0	0	0	0.201523268255157	0.262168377858903	0	0	0	0.385221029822462	0	1.80967174537372	0	0	0	0	0	0.140764583148325	0	0	1.35780297644273	0	0	0.0785084792263326	0	0	0	0	0	2.13388719704983	1.20524047681722	0	0.273008520054284	0	0	0	0	4.553085064021	0	0	1.35780297644273
LIN28B	-0.073023095633365	0	0	0	0	0	-2.93933331531016	0	-1.49319751862984	0.122730687696174	0	0	-0.112132699061718	0	0	0	0	0	0	0	0	0	0	0	-0.58587562444456	0	0	0	0	0	0	0	0	0	0	0	0	0.34045819266794	0.181766218830588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49.3054065217088	0	0	0	0	0	0	0	0	0	0	0.000714344830170607	0	0	0	0	-0.139873014911262	-0.0690833560719467	-1.51183605206904	0	0	0	0	-0.0675103034406382	0	-0.311079200086615	0	0	0	0	0	0	-0.645124724286387	0	0	-0.278908083959298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.281675667262557	0	0	0	0	0	0	0
