AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
CDC40	0	0	0	0	0	0	0	0	0.401337766282849	0	12.6451558310794	0	0	0	0	0	0.095806817726524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.343108431495431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.556368254171763	0	0	0.0381905031382537	0	0	0.373349241622703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0981987693374542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189964986450775	0	0	0.0702722555235516	0	0	0.091057330767344	0	0.095806817726524	0	0.645467536577865	0.0825615535342293	0.00809834574783118	0	0	0	0.473867117854778	0	0.139196311937321	0.565841114222407	0	0	0	0	0	0	0	1.07113220393103	0
CPSF6	0.259749233343493	0	0	0	0	0	0	0	0	0	0	5.10515339313603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127643101701113	0.261025197256172	0	0	0	0	0	0	0	0	0	0	0.0339063267784618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132388627321221	0	0	0	0	0	0	0.00470290230487607	0	0	0	0	0	0	0	0	0	0.259693553335556	0	0	0	0	0	0	0	0	0.934436019794302	0	0	0	0.0329005223704355	0	0	0	0	0.191586626020735	0	0	0	0	0	0	0
CSTF2T	0.196523554200199	0	0	0	0	0	0	0	0	0	0	0	8.01705570720185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36537434375136	0	0.127643101701113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0381905031382537	0	0.0819153854496757	0	0	0	0	0	0	0	0.827108065510313	0.0333261376768252	0	0	0	0	0	0.538412897506469	0	0	0	0	0	0.0790700367432897	0	0	0	0	0	0	0	0	0	0	0.297949814684112	0	0	0	0	0	0.195720710659127	0	0	0	0	0.00760393370776627	0	0	0	0	0	0	0	0	0	0	0.169223104625744	0	0	0	0	0	0
DDX21	0.471211765491737	0.866046058350186	0	0	0	0	0	0	0	0	0	0	0	0.501488644358771	0	0	0	0	0	0	0	0	0	0.541949351326155	0	0	0	0	0	0	0	0.312845604586297	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573907896179309	0	0	0	0	0	0.550100696899231	0.556456952004213	0	0	0.327572278870454	0	0	0	0	0	0.866046058350186	0	0	0	0.661080826125656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297949814684112	0	0	0	0	0.259654681875726	0	0	0	0	0	0	0	0	0	0.102354728609852	0	0	0.720742913889283	0	0	0	0	0	0	0.581169687072862	0	0	0
DDX24	-0.0684630133364157	0	0	0	0	0	0	-0.100215903221903	0	0	0	0	0	0	44.5661268198087	-0.715529610707773	0	0	0	0	0	0	-0.00559962660460146	0	0	0	0.0958068177265238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0339063267784618	0	0	0	0	0	0	0.0940208739630213	0	0	-0.217532829177262	0	0	0	0	0	0	0	0	0	0	-0.188442241191015	0	-0.444407085200944	0	0	0	0	1.68742516114497	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0840820532179255	0	0	0	-0.011303058193304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.47590599599417	0	0	0	0	0	-0.170054655431393	0	0	0	0	0	0
DDX3X	-0.246007608355635	0	0	0	0	0	0	0	-0.0946185392292523	0	0	0	0	0	-0.279450917876115	43.6474577159093	0	0	0.327254216749828	0	0	0	0	0	0.0543634185208871	-0.240243641619119	0	0.417795042903637	0	0	0	0	0	0	0	0	0	0	0	0	2.73889822834376	0	0	0	0	0	0	0	0	0	0	0	0	-0.0600080110194856	2.24631810561511	0	0	0	0	0	1.51167649068204	0	0	0	0	-0.253508809412372	0	1.01721287669159	0	0.00231127663045149	0	0	-2.12303474288807	0	-0.326433030937989	0	0	0	0	0	0	0	0	0.696854844060938	0	0	0	-0.837144759933772	0	0	-0.297949814684112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.21029458439336	0	0	0	0	0	-0.0255397785207874	0	0	0	0	0	0
DDX42	0	0	0	0	0	0	0	0	0	0	0.156598469962137	0	0	0	0	0	0.458711061312082	0	0	0	0	0	0	0	0	0	0	0	0	0.472190166073935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297949814684112	0	0	0	0	0	0	0	0	0.068016051249384	0	0	0	0	0	0	0	0	0	0	0	0	0.155555607216618	0	0	0	0	0	0
DDX52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126161963173039	0	2.02840871283526	0.375286422813631	0	0	0	0.0114044857549066	0	0	0	0	0.417795042903637	0	0	0	0	0	0	0.134557864387963	0	0	0	0	0	0.470105802823211	0	0	0	0	0	0	0	0.0259027147507812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX55	0	0	0	0	0.0663034247710222	0	0.367411422661157	0	0	0	0	0	0	0	0	0.715529610707773	0	0.0405705876325408	11.667496405538	9.47349964281353e-05	0.69331942609827	0	0	0	0	0	0	0.851349871028273	0	0	0	0	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0.00855637418180052	0	0	0	0	0	0	1.79092050809597	0	0	0	0	0	0	0	0	0	0	0	0	1.18818882899176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0981359916111455	0	0	0	0	0	0	0	0	0	0	0	0	4.31346510371462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.65298442960279e-05	0	0	0	0	0
DDX59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.276105332823334	5.61057583711948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.88890905488061	0	0	0	0	0	0	0.210628907738742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.951362773573722	1.20379083765312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.227391616150359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
