AATFBF	ABCF1BF	AGGF1BF	AGOBF	AKAP1BF	AKAP8LBF	APOBEC3CBF	AQRBF	BCLAF1BF	BUD13BF	CDC40BF	CPSF6BF	CSTF2TBF	DDX21BF	DDX24BF	DDX3XBF	DDX42BF	DDX52BF	DDX55BF	DDX59BF	DDX6BF	DHX30BF	DICERBF	DKC1BF	DROSHABF	EFTUD2BF	EIF3DBF	EIF3GBF	EIF3HBF	EIF4G2BF	EWSR1BF	EXOSC5BF	FAM120ABF	FASTKD2BF	FMR1BF	FTOBF	FUSBF	FXR1BF	FXR2BF	G3BP1BF	GEMIN5BF	GPKOWBF	GRSF1BF	GRWD1BF	GTF2F1BF	HLTFBF	HNRNPCBF	HNRNPKBF	HNRNPMBF	HNRNPUL1BF	IGF2BP1BF	IGF2BP2BF	IGF2BP3BF	KHSRPBF	LARP4BF	LARP7BF	LIN28BBF	LSM11BF	METAP2BF	MTPAPBF	NCBP2BF	NIP7BF	NIPBLBF	NKRFBF	NOL12BF	NOLC1BF	NONOBF	PABPC4BF	PABPN1BF	PCBP1BF	PCBP2BF	PHF6BF	PPIGBF	PRPF4BF	PRPF8BF	PTBP1BF	PUM1BF	PUM2BF	QKIBF	RBFOX2BF	RBM15BF	RBM22BF	RBM5BF	RPS3BF	SDAD1BF	SERBP1BF	SF3A3BF	SF3B4BF	SLBPBF	SLTMBF	SMNDC1BF	SND1BF	SRSF1BF	SRSF7BF	SRSF9BF	SSBBF	SUB1BF	SUPV3L1BF	TAF15BF	TARDBPBF	TIA1BF	TIAL1BF	TRA2ABF	TROVE2BF	U2AF1BF	U2AF2BF	UCHL5BF	UPF1BF	UTP18BF	WDR43BF	XPO5BF	XRCC6BF	XRN2BF	YBX3BF	ZC3H11ABF	ZC3H8BF	ZNF622BF	ZNF800BF	ZRANB2BF
EWSR1	0.309506585457908	0	0	0	0	0	0	0	0	0	0	0	1.15308924118478	0	0	0	0	0	0	0	0	0	0	0	0.0339888951229674	0	0	0	0	0	3.37157890207106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131265744797642	0	0	0	0	0	0	0	1.19490406195624	0.145679052559683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189964986450775	0	0	0	0	0	0	0	0	0	0	0.037843320221149	0	0	0	0	0	0	0	0	0	0	0.0509467686719568	0	0	0	0	0	0.230076392948045
EXOSC5	0.353859575182497	0.75843610130024	0	0	0	0	0	0	0	0	0	0	0	0.501488644358771	0	0	0	0	0	0	0	0	0	0.440983664025057	0	0	0	0	0	0	0	1.65796259360439	0	0	0	0	0	0	0	0	0.470105802823211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.469233617769823	0	0	0	0	0	0.467776642328619	0.44623770986112	0	0	0.253508809412372	0	0	0	0	0	0.75843610130024	0	0	0	0.57445953866704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230160794290209	0	0	0	0	0.259654681875726	0	0	0	0	0.0897445990338844	0.0690035153380695	0	0	0	0.430781361868277	0	0	0.631456050122193	0	0	0	0	0	0	0.496624440457704	0	0	0
FAM120A	0	0	0	0	0	0	0	0	0	0	0	0.205559529447524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69065872338937	0.261025197256172	0	0	0	0	0	0	0	0	0	0	0.0339063267784618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0726341684208104	0	0	0	0	0	0.0329005223704355	0	0	0	0	0.191586626020735	0	0	0	0	0	0	0
FASTKD2	0	0	0	0	0	0	0	0	0	0	0.131210896770223	0.205559529447524	0	0	0.0542448547716471	0	0	0	0	0	0	0	0	0	0	0	0.0958068177265238	0	0	0	0	0	0.127643101701113	6.34745670060305	0	0	0	0	0	0	0	0	0	0	0.0339063267784618	0	0	0	0	0	0	0	0	0.0600080110194856	0	0	0.0381905031382537	0	0	0.00810720166334087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22993278051922	0	0.408427256926283	0.0710672767185135	0	0.191586626020735	0	0	0	0	0	0	0
FMR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405705876325408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.2529507041061	0	0	0.123046690099485	1.07641920148703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020977926242639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FTO	0	0	0	0	0.20153604318714	0	0.0964395801670303	0	0.0711519343434652	0	0	0	0	0	0	0.0642307481808287	0	0	0.327254216749828	0	0	0	0	0	0	0	0	0.345920803550975	0	0	0	0	0	0	0	3.05213272475592	0	0	0.172118663417378	0	0.384226117676488	0	0	0.0286735613908683	0	0	0	0	0	0	0	0	0	0	0.217532829177262	0	0	0	0	0	0	0	0	0	0	0	0	0.145679052559683	0	0	0	0	0	0	0	0	0	0	0	0	0.293911643381574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251299909465003	0	0	0	0	0	0	0	0	0	0.0329005223704355	0	0	0	0	0	0.0509467686719568	0.0667683188348436	0	0	0	0.0806162724272446	0
FUS	0	0	0	0	0	0	0	0	0	0	0.131210896770223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53857839028116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600080110194856	0	0	0.0381905031382537	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135356504466761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.335158368316721	0	0.0352091140467523	0	0	0	0	0	0.0329005223704355	0	0	0	0	0	0	0	0	0	0	0.0543301176167075	0
FXR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134557864387963	0	0	2.45648118777671	1.07641920148703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXR2	0	0	0.0719150382182649	0	0	0	0.0964395801670303	0	1.84541578628905	0	0.131210896770223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.190565665676501	0	0	0	0	0	0	0	0	1.19684746757456	0	0	1.14616450642635	20.5895229289881	0.0781142163545207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112191723181122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132388627321221	0	0	0	0	0	0	0	0.527696563790979	0	0	0	0	0	-0.0901112334589149	0	0	0.273605041947415	0	0	0	0	0	0	0	0.0140114448715751	0	0	0	0	0.389663211011724	0	0	0	0	0	0	0	0	0	0.0140271953639034	1.07113220393103	0
G3BP1	0	0	0	0	0	0	0	0	0.366105129805081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325831898263812	30.5438595769116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112191723181122	0	0.0312300318580689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0255967167095296	0	0	0	0	0	0	0	0	0.00184130930869486	0	0	-0.233360484169147	0	0	0	-0.230160794290209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03369726452203	0	0	0	0	0	-0.0271793285826164	0	0	0	0	0.0290614324932105	0
GEMIN5	0.48738533167814	0.883688464078901	0	0	0	0	0	0.476164943629095	0	0	0	0	0	0.176987078320811	0	4.77425122501842	0	0	0.375286422813631	0	0	0	0	0.341112526325411	0.933483305955531	0	0	1.09392524656422	0	0	0	0.105761509722854	0	0	0	0	0	0	0	0	18.3563460007628	0	0	0	0.0339063267784618	0	0	0	0	0	0	0	0	0	0.990836702488808	0.371838733197096	0	0	0	0	0	0.338325385693331	0.282239980811044	0	0	0.322184220148589	0	0.278007353996124	0	0	0	0.883688464078901	-0.459056338298025	0.252318285804182	0	0.538934340732486	0	0	0	0	0	0	0	0	0.527696563790979	0	0	0	0	0	0.331834009182515	0	0	0	0	0	0.227391616150359	0	0	0	0	0	0	0	0	0	-0.0329005223704355	0	0.651728365365657	0	0	0	0.0951768951476537	0.0330547267735446	0	0.384330693250877	0	0	0
GPKOW	0	0	0	0	0	0	0	0.164065980461444	0.561339370931104	0.705658560017179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.542112147563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0356946404739189	0.299672866346913	0	0.00184130930869486	0.527696563790979	0	0	0	0	0	0.242154586506262	0	0	0	0	0	0	0	0	0	0.0241987126374827	0.0219433316327566	0.418034527528938	0	0	0.102354728609852	-0.000810368775821673	0	0.0533969982899809	0	0	0	0.293945551201986	0	0	0	0	0.0290614324932105	0
GRSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20150086537106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.189711043220414	0	9.2529689663873	0	0.0339063267784618	0	0	0	0	0	0	0	0	0	0	0	0.0381905031382537	0	0	0	0	0	0	0	0	0	0.0624044674433917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRWD1	-0.246007608355635	0	0	0	0	0	0	-0.480296074555447	0.179546176683607	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.20150086537106	0	0	-1.09847834401805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.168996522312726	0	0	53.0008253719694	0	0	0	0	0	0	0	0	0	0	0	-0.388257496992501	0	0	-0.171324351190084	0	0	-0.528850772331317	0	0	0	0	0	0	0	0	0	0	1.7288923036737	0	-0.686854203888272	0	0.0132388627321221	0	0	0	0	-0.227184642038263	0	0	0	0	0	-1.24987226028811	0	0	-0.649965298637367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.203552913292094	2.65893751742789	0	0	0	0	0	-0.169223104625744	0	0	0	1.32555864343479	0.68921801748755	0
GTF2F1	0	0	0	0	0	0	0	0	0	0	0	0.0999695295702913	0	0	0.146385223109052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127643101701113	0.120697608952159	0	0	0	0	0	0	0.567724340951887	0	0	0	9.11507818480269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0513088055551871	0	0	0	0.837786154708559	0	0	2.62603860336252	0	0	0	0	0	0.0413127031329423	0.0578415145054432	0	0	0	0	0	0	0	0	0	0.0592848448319927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0569104747481025	0	0	0	0	0.0861101461445312	0.155555607216618	0	0	0	0	0	0
HLTF	0	0	0	0	0	0	0	0	0.537909631697027	0	0	0	0	0	0	0	0	0	0	0	0.124857599089254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.53857839028116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132388627321221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318857755008497	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471774349936665	0.0543301176167075	0
HNRNPC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0418578387899695	0	0	0	0	0.260990315042812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.297949814684112	0	0	0	0	0	0	0	0	0	0.204939324605726	0	0	0	0.0193526539289947	0.102354728609852	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPK	0	0	0	0	0	0.260142734053251	0	0	0	0	0	0	0	0	0	0	0	0	0.273361877130985	1.70867332630358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.06060321021254	0	0	0	0	0	0	0.152821523700297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906902292006862	2.24700510135409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0569099764088516	0	0	0	0	0	0	0	0	0.227391616150359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HNRNPM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0779406494273725	0	0	0	0	0.172533952023677	0	0	0	0	0	0	0	0	0	0	0	0.0132886984336196	0	0	0	0	0	0	0	0	0	0	0	0	0	5.10515339313603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245368268954136	0	0	0	0	0	0	0.318857755008497	0	0	0	0	0	0	0	0	0.191586626020735	0	0	0	0	0	0	0
HNRNPUL1	0.471211765491737	0	0.516441103473551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0852067077340689	0.541949351326155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421268514653036	0	0	0	0	0	0.573907896179309	0	0	0	0	0	0.550100696899231	0.556456952004213	0	0	0.327572278870454	0	0	0	0	0	0	0	0	0	0.661080826125656	0	0	0	0	0	0	0	0	0	0	0	0	0.421268514653036	0	0.297949814684112	0	0	0	0	0	0.401410959986252	0	0	0	0	0	0.542740112782721	0	0	0	0	0	0	0	0	0	0	0	0	0.581169687072862	0	0	0
IGF2BP1	0.0581710352798825	0	0	0	0	0	0	-0.476164943629095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.848808932094907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0574473107482	0	3.40221357720812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0569099764088516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100220739388571	0	0	0	0	0	0	0	0	0	0	0	0.0958068177265238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13.8498216410255	0	0	0	0	0	0	0.30494593109634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0569099764088516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGF2BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07272829769721	0	4.53968498786195	0.0610109196717267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0667683188348436	0	0	0	0.0806162724272446	0
KHSRP	0	0	0	0	0	0	0	0	0.658341692833066	-0.173069183851911	0.131210896770223	0	0	0	0	-0.0642307481808287	0	0	0	0	0	0	-0.184891713392581	0	0	-1.3191443952609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0321008613503386	0	0	0	0	0	0	0	0	0	0	0	0	39.6792657090794	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0333261376768252	0	0	0	0	-0.0458347570929359	-0.0183079498777148	-0.359954134738579	0	0	0	0	0	0	0	0	-0.0304066556892643	0	0	0	-1.38541352535387	0	0	-0.189964986450775	0	0	0	0	0	0	0	0	0	0.300969162561829	0	0	0	0.0941184697011461	0.844069467115077	0	0	0	0.0710672767185135	0	0	0	6.65298442960279e-05	0	0	0	0.676955480275152	0
LARP4	0	0	0	0	0	0	0.0964395801670303	0	0	0	0	0	0	0	0	3.72659115351111	0	0	1.78899533301617	0	0.275787471541927	0	0	0	0	0	0	0.417795042903637	0	0	0	0	0	0	0	0	0	0	0	0	0.777321615291035	0	0	0	0	0	0	0	0	0	0	0	0	0	20.56926153147	0	0.0381905031382537	0	0.131265744797642	0	1.02936719486522	0	0	0	0	0	0	6.76222061841832	0	2.14556940050581	0.0980746750335043	0	0	0	0	0	0	0	0	0	0.0578415145054432	0	0	3.14320608869448	0	0	0	0	0	0	0	0	0	0	0	0	1.71671088588332	0	0	0	0	0	0	0	0	-0.0702203527636937	0	0	0	0	0	0	0	0.478875029898715	0	0	0	0	0
LARP7	4.21189890324094	1.39468595327417	0.225744178294697	0	0	0	0	0	0	0	0	0	0	0.420781829344147	0	0	0	0	0	0	0	0	0.0546331749800965	3.94018901034323	0	0	0	0	0	0	0	0.235481973838558	0	0	0	0	0	0	0	0	0.601049626902893	0	0	0	0	0	0	0	0	0.340682881432837	0	0	0	0.375347557965142	0	6.20689331484216	0.0381905031382537	0	0	0	0	6.10072220030896	4.94652211606996	0	0	4.92516299341069	0	0	0	0	0	1.39468595327417	0	0	0	3.30927642195049	0	0	0.244690570288466	0	0	0	0	0	0.846510249212964	0	0	0	0.340682881432837	0	0.782213206432881	0	0	0	0	0.156250785335064	0.195720710659127	0	0	0	0.0112062849298065	0	0.807586750543979	0	0	0.102354728609852	0	0	1.99945041326039	0.0710672767185135	0	0	0	6.65298442960279e-05	0.0253097861578384	4.13487172481218	0	0	0
LIN28B	0	0	0	0	0	0	0	-0.715746663383764	0	-0.886841028771947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.05005670305876	0	0	0	0	0	0	0	0	0	0	0	0	0.162085579647227	0	-0.0321008613503386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.3240403155647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.33565454816512	0	0	0	0	0	0	-0.299672866346913	0	0	0	0	0	-0.722680652582183	0	0	0	0	0	0	0	0	0	0	0	0	-0.0726341684208104	0	0	0	0	0	0.0329005223704355	0	0	0	0	0	0	0	0	0	0	0	0
LSM11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9880676822	0.522654994585406	0	0	0	0	0	0	0	0.399155188305035	0.0582853028904867	0.636073432124673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230160794290209	0	0	0	0	0	0.00457941844164522	0	0	0	0	0	0	0	0	-0.0045561757844763	0	0	0	0	0	0	0.155555607216618	0	0	0	0.0405577670039221	0	0
METAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0325295005163763	0	0	0	0	0	0	0	0.109180217764931	0	0	0.126502055646059	0	0	0.162223831556272	22.3407894940634	0	0	0	0	0	0	0	0.338663983863532	0.7071739906486	0	0	0	0	0	0	0	0	0.0132388627321221	0	0	0	0.0578415145054432	0	0	0.0899131159568687	0	0.378310829296981	0	0	0	0	0.189964986450775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0045561757844763	0	0	0	0	0	0	0	0.478875029898715	0	0	0	0	0
MTPAP	0	0	0	0	0	0.260142734053251	0	0	0	0	0.4795049420325	0	0	0	0	0	0	0	0	0	0.0406804178161474	0	0	0	0	0	0	0	0	0	0	0	0	0.175792949490772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0600080110194856	0	0	0	0	0.0972650588860248	7.28494559691375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0975332191409674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182629679184317	0	0.385336404567078	0.0710672767185135	0	0	0	0	0	0	0	0	0
NCBP2	0.309506585457908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.85428490739102	0	0	0.00450050958844513	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0321008613503386	0	0	0	0	0	0	0	0	0	0	0	0	0	1.37075927601619	0	0	0	0	0	15.1797564053554	0	0	0	0	0.194645673257487	0	1.07132326465171	0	0	0	0	-0.0458347570929359	0.538412897506469	0	0.0611995833497088	0	0	0	0	0.0578415145054432	0	0	0.0304066556892643	0	0	0	0	0	0	0	0	0	0	0	0	0.0627334836434343	0	0	0	0.0520063962167393	0	0	0	0	0.0045561757844763	0	0	0	0	0	0	0.0271793285826164	0	0	0	0	0	0
NIP7	4.64383990267779	1.39298235881202	0.225744178294697	0	0	0	0	0	0	0	0	0	0	0.420781829344147	0	0	0	0	0	0	0	0	0.0114044857549066	3.77497787135123	0	0	0	0	0	0	0	0.235481973838558	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0.340682881432837	0	0	0	0.299059708999733	0	6.00154188395957	0	0	0.0294158989637323	0	0	7.88503780178062	4.78824431941175	0	0	5.32651278119397	0	0	0	0	0	1.39298235881202	0	0	0	3.13117217186603	0	0	0.244690570288466	0	0	0	0	0	0.785332173648454	0	0	0	0.340682881432837	0	0.971150285738006	0	0	0	0	0.156250785335064	0.511373753581304	0	0	0	0.204939324605726	0	0.703259279820217	0	0	0.102354728609852	0	0	1.93478445087479	0.0710672767185135	0	0	0.155555607216618	6.65298442960279e-05	0.0253097861578384	3.92340550403291	0	0	0
NIPBL	4.55208063818404	1.39298235881202	0.225744178294697	0	0	0	0	0	0	0	0	0	0	0.420781829344147	0	0	0	0	0	0	0	0	0	2.61466066975991	0	0	0	0	0	0	0	0.235481973838558	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0.340682881432837	0	0	0	0	0	4.66894141054934	0	0	0	0	0	4.54482250492629	8.88978317023414	0	0	6.96367050453096	0	0	0	0	0	1.39298235881202	0	0	0	3.75225074165513	0	0	0.244690570288466	0	0	0	0	0	0.785332173648454	0	0	0	0.340682881432837	0	0.893707471981946	0	0	0	0	0.156250785335064	0.140987210420357	0	0	0	0	0	0.688442890661028	0	0	0.203552913292094	0	0	1.93478445087479	0	0	0	0	6.65298442960279e-05	0.0253097861578384	4.71073667573858	0	0	0
NKRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8966559044236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOL12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.529142009967594	0	0	0	0	0	0	0	0	0.0183079498777148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NOLC1	7.68883315894961	0.858036259841821	0.0319048827332314	0	0	0	0	0.430168231471713	0	0	0	0	0	0.156089850676292	0	0	0	0	0	0	0	0	0	4.6673152241876	0	0	0	0	0	0	0	0.0795987488781335	0	0	0	0	0	0	0	0	0.542260426560626	0	0	0	0	0	0	0	0	0.137654771577231	0	0	0	0.0243067201872497	0	4.04860310437092	0	0	0	0	0.00627923920286355	4.57788176830808	6.34428142691508	0	0	18.1474388114198	0	0.227442394689236	0	0	0	0.858036259841821	0	0	0	3.41096029643859	0	0	0	0	0	0	0	0	0.493826981007014	0	0	0	0.137654771577231	0	1.59225091047547	0	0	0	0	0	0.227391616150359	0	0	0	0.0897445990338844	0	0.314928997177328	0	0	0.102354728609852	-0.0329005223704355	0	1.33080247895528	0	0	0	0	0.00898981429043392	0	4.77363374587129	0	0	0
NONO	0.219470658527487	0	0	0	0	0	0	0	0	0	0	0	0.89179174580133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.36537434375136	0	0	0	0	0	0	0	0	0	0.230462573443425	0	0	0	0.0339063267784618	0	0	0	0	0	0	0	0	0	0	0	0.0381905031382537	0.246646042599083	0.522654994585406	0	0	0	0	0	0	0	6.78031553725118	0.0333261376768252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.799181477327544	0	0	0	0	0	0.198598473718432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.44450954439135	0	0	0	0	0	0.164860030554612
PABPC4	0.103913555610255	0	0	0	0	0	0.367411422661157	0	0	0	0	0	0	0	0	1.91787123754416	0	0	1.54986413045527	0	0.69331942609827	0	0.0852067077340689	0	0	0	0	0.851349871028273	0	0	0	0	0	0	0	0	0	0	0	0	0.455148284309336	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88520682220933	0	0.0381905031382537	0	0.522654994585406	0	0.807797009112947	0	0	0	0	0.188442241191015	0	23.6868994191038	0	0.00231127663045149	0	0	0	0	0	0	0	0	0	0	0.0578415145054432	0	0	1.47703101030491	0	0	0	0	0	0	0	0	0	0	0	0	1.41313887527914	0	0	0	0	0	0	0	0	-0.102354728609852	0	0	0	0	0	0	0	0.374061213198095	0	0	0	0	0
PABPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.246646042599083	0	0	0	0	0	0	0	0	0	0	29.2650285224321	0	0	0	0.282906541041079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.102354728609852	0	0	0	0	0	0	0	6.65298442960279e-05	0	0	0	0	0
