1I_H3F3B	0.032	1517	826	112	62						0.051	1550	2512	645	538
3I_RAN	0.081	1604	979	133	74	0.088	1617	221	161	95	0.056	1558	315	81	67
7I_EIF4A1	0.495	2569	688	94	52	0.277	2005	121	88	52	0.294	2044	325	83	70
4I_SEMA4C	0.095	1629	2325	316	175	0.047	1542				0.371	2230	3120	801	668
4I_JUP	0.020	1495	2767	376	208	4.897	385915	14685	10713	6313	0.029	1511			
1I_FTH1						3.099	49795				0.005	1470			
11I_THBS1	0.018	1493						444	324	191	0.746	3419	259	66	55
16I_POLG	0.236	1914	1648	224	124	0.190	1815				0.246	1935	1469	377	315
2I_ACTB	1.317	6551				2.109	16148				6.900	3776845			
